,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s)
0,0.729507599,0.008120434,0.698086888,0.003599418,-805.86074,24.99931977,0.15
1,0.733317517,0.008120434,0.72855167,0.003599418,-785.60758,24.99931977,0.15
2,0.733015412,0.008120434,0.751858542,0.003599418,-765.35441,24.99931977,0.15
3,0.738877796,0.008120434,0.718826529,0.003599418,-745.10125,24.99931977,0.15
4,0.755656046,0.008120434,0.734311736,0.003599418,-724.84809,24.99931977,0.15
5,0.735588239,0.008120434,0.724359062,0.003599418,-704.59492,24.99931977,0.15
6,0.741393593,0.008120434,0.713879611,0.003599418,-684.34176,24.99931977,0.15
7,0.747923384,0.008120434,0.731596493,0.003599418,-664.08859,24.99931977,0.15
8,0.742085969,0.008120434,0.700826953,0.003599418,-643.83543,24.99931977,0.15
9,0.75512767,0.008120434,0.747931621,0.003599418,-623.58226,24.99931977,0.15
10,0.757918753,0.008120434,0.722135201,0.003599418,-603.3291,24.99931977,0.15
11,0.743169541,0.008120434,0.717510048,0.003599418,-583.07593,24.99931977,0.15
12,0.758940979,0.008120434,0.748570096,0.003599418,-562.82277,24.99931977,0.15
13,0.742315014,0.008120434,0.711190109,0.003599418,-542.5696,24.99931977,0.15
14,0.751078534,0.008120434,0.740718552,0.003599418,-522.31644,24.99931977,0.15
15,0.732090291,0.008120434,0.725017303,0.003599418,-502.06328,24.99931977,0.15
16,0.742267232,0.008120434,0.721779879,0.003599418,-481.81011,24.99931977,0.15
17,0.735003141,0.008120434,0.712212405,0.003599418,-461.55695,24.99931977,0.15
18,0.748230421,0.008120434,0.707041629,0.003599418,-441.30378,24.99931977,0.15
19,0.732454976,0.008120434,0.682085018,0.003599418,-421.05062,24.99931977,0.15
20,0.731507968,0.008120434,0.689019529,0.003599418,-400.79745,24.99931977,0.15
21,0.740292759,0.008120434,0.713105534,0.003599418,-380.54429,24.99931977,0.15
22,0.713860702,0.008120434,0.704345692,0.003599418,-360.29112,24.99931977,0.15
23,0.706318551,0.008120434,0.690244537,0.003599418,-340.03796,24.99931977,0.15
24,0.697166302,0.008120434,0.703032887,0.003599418,-319.78479,24.99931977,0.15
25,0.718358372,0.008120434,0.682002278,0.003599418,-299.53163,24.99931977,0.15
26,0.699610272,0.008120434,0.679374831,0.003599418,-279.27847,24.99931977,0.15
27,0.714279642,0.008120434,0.66804316,0.003599418,-259.0253,24.99931977,0.15
28,0.683787352,0.008120434,0.658048656,0.003599418,-238.77214,24.99931977,0.15
29,0.671600486,0.008120434,0.644552881,0.003599418,-218.51897,24.99931977,0.15
30,0.68422633,0.008120434,0.668782302,0.003599418,-198.26581,24.99931977,0.15
31,0.677315209,0.008120434,0.640226511,0.003599418,-178.01264,24.99931977,0.15
32,0.65817992,0.008120434,0.618059149,0.003599418,-157.75948,24.99931977,0.15
33,0.662561989,0.008120434,0.637366013,0.003599418,-137.50631,24.99931977,0.15
34,0.644807753,0.008120434,0.608220471,0.003599418,-117.25315,24.99931977,0.15
35,0.592916235,0.008120434,0.561525366,0.003599418,-96.999984,24.99931977,0.15
36,0.541115965,0.008120434,0.496856885,0.003599418,-76.74682,24.99931977,0.15
37,0.448231839,0.008120434,0.344041779,0.003599418,-56.493655,24.99931977,0.15
38,0.383681739,0.008120434,0.294252942,0.003599418,-36.240491,24.99931977,0.15
39,0.346166395,0.008120434,0.273217,0.003599418,-15.987326,24.99931977,0.15
40,0.367597437,0.008120434,0.28542631,0.003599418,4.26583843,24.99931977,0.15
41,0.372025006,0.008120434,0.319127733,0.003599418,24.519003,24.99931977,0.15
42,0.508202825,0.008120434,0.476009222,0.003599418,44.7721675,24.99931977,0.15
43,0.618044922,0.008120434,0.589553001,0.003599418,65.0253321,24.99931977,0.15
44,0.680961126,0.008120434,0.61967855,0.003599418,85.2784967,24.99931977,0.15
45,0.673633531,0.008120434,0.683711773,0.003599418,105.531661,24.99931977,0.15
46,0.701455889,0.008120434,0.689156969,0.003599418,125.784826,24.99931977,0.15
47,0.696915986,0.008120434,0.697634118,0.003599418,146.03799,24.99931977,0.15
48,0.712365589,0.008120434,0.68808457,0.003599418,166.291155,24.99931977,0.15
49,0.716287409,0.008120434,0.703583107,0.003599418,186.544319,24.99931977,0.15
50,0.70834389,0.008120434,0.708923499,0.003599418,206.797484,24.99931977,0.15
51,0.714094988,0.008120434,0.691673637,0.003599418,227.050649,24.99931977,0.15
52,0.73496245,0.008120434,0.721108308,0.003599418,247.303813,24.99931977,0.15
53,0.743114052,0.008120434,0.716019353,0.003599418,267.556978,24.99931977,0.15
54,0.745038586,0.008120434,0.709665859,0.003599418,287.810142,24.99931977,0.15
55,0.716969304,0.008120434,0.686781878,0.003599418,308.063307,24.99931977,0.15
56,0.736644683,0.008120434,0.714995219,0.003599418,328.316471,24.99931977,0.15
57,0.748891045,0.008120434,0.723439271,0.003599418,348.569636,24.99931977,0.15
58,0.713546574,0.008120434,0.706331446,0.003599418,368.8228,24.99931977,0.15
59,0.731384351,0.008120434,0.698602173,0.003599418,389.075965,24.99931977,0.15
60,0.72992099,0.008120434,0.719890655,0.003599418,409.32913,24.99931977,0.15
61,0.74658888,0.008120434,0.736324151,0.003599418,429.582294,24.99931977,0.15
62,0.728292396,0.008120434,0.687594107,0.003599418,449.835459,24.99931977,0.15
63,0.737258142,0.008120434,0.705871781,0.003599418,470.088623,24.99931977,0.15
64,0.726343509,0.008120434,0.715724708,0.003599418,490.341788,24.99931977,0.15
65,0.729857486,0.008120434,0.708099779,0.003599418,510.594952,24.99931977,0.15
66,0.721846147,0.008120434,0.729673253,0.003599418,530.848117,24.99931977,0.15
67,0.716337658,0.008120434,0.701134929,0.003599418,551.101281,24.99931977,0.15
68,0.733966735,0.008120434,0.682220619,0.003599418,571.354446,24.99931977,0.15
69,0.743730285,0.008120434,0.724403649,0.003599418,591.607611,24.99931977,0.15
70,0.758050077,0.008120434,0.740711197,0.003599418,611.860775,24.99931977,0.15
71,0.74016945,0.008120434,0.73209477,0.003599418,632.11394,24.99931977,0.15
72,0.743012631,0.008120434,0.727776674,0.003599418,652.367104,24.99931977,0.15
73,0.731987637,0.008120434,0.699313735,0.003599418,672.620269,24.99931977,0.15
74,0.74813609,0.008120434,0.719982588,0.003599418,692.873433,24.99931977,0.15
75,0.743321827,0.008120434,0.715502689,0.003599418,713.126598,24.99931977,0.15
76,0.749259429,0.008120434,0.720668409,0.003599418,733.379762,24.99931977,0.15
77,0.744702571,0.008120434,0.723114288,0.003599418,753.632927,24.99931977,0.15
78,0.751247159,0.008120434,0.73099571,0.003599418,773.886092,24.99931977,0.15
79,0.732875457,0.008120434,0.694130548,0.003599418,794.139256,24.99931977,0.15
80,0.739892064,0.004802771,0.838244773,0.007112313,-806.03808,50.0140808,0.15
81,0.744351969,0.004802771,0.807975782,0.007112313,-785.78491,50.0140808,0.15
82,0.71033194,0.004802771,0.816057446,0.007112313,-765.53175,50.0140808,0.15
83,0.746176563,0.004802771,0.786263752,0.007112313,-745.27858,50.0140808,0.15
84,0.747621821,0.004802771,0.793536342,0.007112313,-725.02542,50.0140808,0.15
85,0.735623369,0.004802771,0.8130102,0.007112313,-704.77225,50.0140808,0.15
86,0.751240554,0.004802771,0.816955171,0.007112313,-684.51909,50.0140808,0.15
87,0.718279122,0.004802771,0.791652774,0.007112313,-664.26593,50.0140808,0.15
88,0.733679268,0.004802771,0.803715725,0.007112313,-644.01276,50.0140808,0.15
89,0.708268333,0.004802771,0.766863592,0.007112313,-623.7596,50.0140808,0.15
90,0.719082514,0.004802771,0.827662188,0.007112313,-603.50643,50.0140808,0.15
91,0.744385122,0.004802771,0.816606976,0.007112313,-583.25327,50.0140808,0.15
92,0.729653827,0.004802771,0.796010026,0.007112313,-563.0001,50.0140808,0.15
93,0.711664245,0.004802771,0.764214741,0.007112313,-542.74694,50.0140808,0.15
94,0.731617203,0.004802771,0.801679955,0.007112313,-522.49377,50.0140808,0.15
95,0.720897856,0.004802771,0.792726734,0.007112313,-502.24061,50.0140808,0.15
96,0.683337351,0.004802771,0.765346911,0.007112313,-481.98744,50.0140808,0.15
97,0.73503586,0.004802771,0.792216723,0.007112313,-461.73428,50.0140808,0.15
98,0.701529709,0.004802771,0.777391705,0.007112313,-441.48112,50.0140808,0.15
99,0.688070579,0.004802771,0.760655882,0.007112313,-421.22795,50.0140808,0.15
100,0.709137261,0.004802771,0.75559583,0.007112313,-400.97479,50.0140808,0.15
101,0.693197793,0.004802771,0.771086265,0.007112313,-380.72162,50.0140808,0.15
102,0.664607985,0.004802771,0.711949609,0.007112313,-360.46846,50.0140808,0.15
103,0.632346244,0.004802771,0.722014173,0.007112313,-340.21529,50.0140808,0.15
104,0.638239842,0.004802771,0.707370195,0.007112313,-319.96213,50.0140808,0.15
105,0.603856667,0.004802771,0.70053552,0.007112313,-299.70896,50.0140808,0.15
106,0.589989674,0.004802771,0.65111363,0.007112313,-279.4558,50.0140808,0.15
107,0.553298482,0.004802771,0.591466963,0.007112313,-259.20263,50.0140808,0.15
108,0.566213664,0.004802771,0.591787388,0.007112313,-238.94947,50.0140808,0.15
109,0.521325484,0.004802771,0.599709374,0.007112313,-218.69631,50.0140808,0.15
110,0.535784998,0.004802771,0.595496847,0.007112313,-198.44314,50.0140808,0.15
111,0.489590342,0.004802771,0.537232282,0.007112313,-178.18998,50.0140808,0.15
112,0.487226427,0.004802771,0.504044909,0.007112313,-157.93681,50.0140808,0.15
113,0.451167848,0.004802771,0.486290774,0.007112313,-137.68365,50.0140808,0.15
114,0.35586038,0.004802771,0.417574251,0.007112313,-117.43048,50.0140808,0.15
115,0.328659276,0.004802771,0.36602073,0.007112313,-97.177318,50.0140808,0.15
116,0.312960633,0.004802771,0.312910102,0.007112313,-76.924153,50.0140808,0.15
117,0.139500661,0.004802771,0.190245359,0.007112313,-56.670989,50.0140808,0.15
118,0.048774763,0.004802771,0.044209428,0.007112313,-36.417824,50.0140808,0.15
121,0.024663642,0.004802771,0.031722992,0.007112313,24.3416697,50.0140808,0.15
122,0.132356524,0.004802771,0.194573239,0.007112313,44.5948342,50.0140808,0.15
123,0.406100794,0.004802771,0.493648437,0.007112313,64.8479988,50.0140808,0.15
124,0.469609628,0.004802771,0.532888167,0.007112313,85.1011633,50.0140808,0.15
125,0.557919528,0.004802771,0.639638126,0.007112313,105.354328,50.0140808,0.15
126,0.619547099,0.004802771,0.642280034,0.007112313,125.607492,50.0140808,0.15
127,0.652506218,0.004802771,0.734106496,0.007112313,145.860657,50.0140808,0.15
128,0.627244473,0.004802771,0.703126694,0.007112313,166.113822,50.0140808,0.15
129,0.65176335,0.004802771,0.712668964,0.007112313,186.366986,50.0140808,0.15
130,0.676973438,0.004802771,0.71479926,0.007112313,206.620151,50.0140808,0.15
131,0.665622248,0.004802771,0.766155452,0.007112313,226.873315,50.0140808,0.15
132,0.692365874,0.004802771,0.779696632,0.007112313,247.12648,50.0140808,0.15
133,0.722858148,0.004802771,0.766722605,0.007112313,267.379644,50.0140808,0.15
134,0.707525851,0.004802771,0.782010104,0.007112313,287.632809,50.0140808,0.15
135,0.688335807,0.004802771,0.798073566,0.007112313,307.885973,50.0140808,0.15
136,0.682310366,0.004802771,0.782967642,0.007112313,328.139138,50.0140808,0.15
137,0.695772194,0.004802771,0.759487932,0.007112313,348.392303,50.0140808,0.15
138,0.744577104,0.004802771,0.78357111,0.007112313,368.645467,50.0140808,0.15
139,0.667638053,0.004802771,0.80589355,0.007112313,388.898632,50.0140808,0.15
140,0.735400933,0.004802771,0.786199133,0.007112313,409.151796,50.0140808,0.15
141,0.74573092,0.004802771,0.803660185,0.007112313,429.404961,50.0140808,0.15
142,0.708310353,0.004802771,0.829166586,0.007112313,449.658125,50.0140808,0.15
143,0.72594103,0.004802771,0.779108117,0.007112313,469.91129,50.0140808,0.15
144,0.703187379,0.004802771,0.774872626,0.007112313,490.164454,50.0140808,0.15
145,0.720296469,0.004802771,0.75954187,0.007112313,510.417619,50.0140808,0.15
146,0.762917881,0.004802771,0.790396706,0.007112313,530.670784,50.0140808,0.15
147,0.754614107,0.004802771,0.807154958,0.007112313,550.923948,50.0140808,0.15
148,0.712051292,0.004802771,0.811526096,0.007112313,571.177113,50.0140808,0.15
149,0.710458,0.004802771,0.77313058,0.007112313,591.430277,50.0140808,0.15
150,0.705850447,0.004802771,0.762895122,0.007112313,611.683442,50.0140808,0.15
151,0.711165402,0.004802771,0.786184179,0.007112313,631.936606,50.0140808,0.15
152,0.727565547,0.004802771,0.818286005,0.007112313,652.189771,50.0140808,0.15
153,0.743237089,0.004802771,0.809760551,0.007112313,672.442935,50.0140808,0.15
154,0.752254432,0.004802771,0.83893262,0.007112313,692.6961,50.0140808,0.15
155,0.71986239,0.004802771,0.790034626,0.007112313,712.949265,50.0140808,0.15
156,0.722877038,0.004802771,0.775873422,0.007112313,733.202429,50.0140808,0.15
157,0.750531226,0.004802771,0.830624522,0.007112313,753.455594,50.0140808,0.15
158,0.739203552,0.004802771,0.8106006,0.007112313,773.708758,50.0140808,0.15
159,0.733599469,0.004802771,0.808528515,0.007112313,793.961923,50.0140808,0.15
