Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,250,400,15.3165239219,0.306217470148,1.0247564352
1468,200,400,16.9908900633,0.320265218222,5.11108063259
1465,50,400,20.017539391,0.556613830603,0.579059315848
1464,-1200,400,5.45248508452,0.449591364781,1.34356532329
1467,150,400,18.6805844002,1.38409052862,0.298318963719
1466,100,400,18.9680068889,0.307290107034,3.50846000932
1461,-750,400,7.69305319995,1.10372841829,0.209983129618
1460,-600,400,8.58634566272,0.218580169873,1.66005003705
1463,-1050,400,5.49818980674,0.310772407681,0.536296634106
1462,-900,400,6.36840845198,0.493910904869,0.211136928871
1490,1200,1000,10.3120846263,0.226351912991,1.83416133177
1491,1800,1000,7.51509259191,0.428331450928,0.410246974569
1492,2400,1000,5.95032992084,0.330887077685,0.957443413524
1418,-160,150,11.6047225928,0.330659454877,1.49070920205
1419,-200,150,9.79701673131,0.253714414415,0.562164489478
1410,0,1200,20.0803168466,0.709663592595,0.38912107236
1411,0,1400,20.0169953406,0.287555395018,0.391549619719
1412,0,1600,19.9155787866,0.376948838153,1.01699517118
1413,0,2000,20.056562381,0.327796620134,1.33067680708
1414,0,2500,19.9160435441,0.3233095397,1.82747966427
1415,-40,150,18.8512500534,0.287741613693,0.609608841833
1416,-80,150,16.3197017126,0.579968600677,1.0138326897
1417,-120,150,13.5844527086,0.309951592105,1.41042850491
1483,-1800,1000,7.54259491882,0.222306379467,1.17399172076
1482,-1200,1000,10.3746311319,0.219963181389,1.14417877439
1481,-900,1000,12.5055084924,0.397310594441,1.61959061268
1480,-600,1000,15.9268376538,0.429912836922,0.472553566209
1487,300,1000,18.5831024731,0.460519106752,1.15243045152
1486,150,1000,19.4245700479,0.344482903776,1.60669031328
1485,50,1000,19.7992568541,0.28263376152,1.39335448807
1484,-2400,1000,5.94832329711,0.29295968468,1.7165346112
1489,900,1000,12.4125218657,0.376090926033,0.606246896935
1488,600,1000,15.6987681482,0.314390819549,1.22397793067
1409,0,1000,20.0071708372,0.355277419959,1.6800681243
1408,0,900,20.3000413203,0.872807699658,0.294284968981
1403,0,300,20.3382907595,0.418897065537,0.273547994451
1402,0,250,20.2148488675,0.884046872366,0.3405663523
1401,0,200,19.7419442659,0.485551878056,0.904519348396
1400,0,150,21.2936235167,1.92458478469,0.377255270585
1407,0,700,20.4593615679,0.626396234909,0.357082564655
1406,0,600,19.5309415503,0.532722102024,0.731576338673
1405,0,500,20.2275263817,0.545497026698,1.22859049089
1404,0,400,20.4718552267,0.736422020944,0.483596975287
1436,-200,200,11.8466190532,0.381557189531,1.18543398634
1437,-250,200,10.0004407283,0.343892173013,0.514916504857
1434,-100,200,16.6678355443,0.431751175694,0.870074047306
1435,-150,200,14.3317973488,0.651826163359,0.614526098668
1432,400,150,5.5018162341,0.353716097545,1.30553636411
1433,-50,200,19.1109911429,0.369792472107,2.67800581804
1430,280,150,6.94030151038,0.385523631229,0.103626045629
1431,340,150,6.52963425368,0.293066450726,1.29014371896
1438,-300,200,8.971923961,0.466344219533,1.15411661107
1439,-350,200,8.00770326769,0.257281393557,1.43288350823
1421,-280,150,7.29682407628,0.318767152311,0.127252342405
1420,-240,150,8.51984180292,0.511127760511,0.72934339935
1423,-400,150,6.11480495936,0.821133598281,0.500245556329
1422,-340,150,6.61589027418,0.337137714485,2.86276604722
1425,80,150,16.9733651237,1.30752502154,0.144003717492
1424,40,150,19.1379596003,0.566374026151,0.753973754581
1427,160,150,11.3957688682,0.290932828274,1.57154014024
1426,120,150,13.808022022,0.673130086311,0.355918697303
1429,240,150,7.93425323804,0.441713364402,0.314140773723
1428,200,150,9.31293415195,0.270095137294,0.372065112351
1454,-100,400,19.1211804789,0.394205711951,1.3158567338
1455,-150,400,18.5817780239,0.952893451873,0.662706831455
1456,-200,400,16.3757304717,0.274605823774,2.59031025396
1457,-250,400,15.9927481213,1.22450085102,0.179852970793
1450,400,200,7.01396253318,0.274720198336,0.910604981843
1451,500,200,5.68693261609,0.246343198885,0.954261244866
1452,600,200,5.02718782595,0.293614177529,0.733476927428
1453,-50,400,19.8175989237,0.473880547899,0.194479400908
1458,-300,400,14.6740974777,0.795586644081,0.602048026335
1459,-450,400,11.0332225607,0.624283249382,0.312234493352
1447,250,200,9.86964851989,0.259601125434,1.95624295821
1446,200,200,11.5631037406,0.312153668374,0.476332876161
1445,150,200,14.1717650897,0.444667418621,0.255052530538
1444,100,200,16.4755577413,0.427533846551,0.463355857981
1443,50,200,19.1513382708,0.407398449477,1.45922632251
1442,-600,200,5.22128351992,0.409118661841,1.0424325825
1441,-500,200,5.87790579792,0.39759512343,0.30952444881
1440,-400,200,7.16354479645,0.582124148676,0.453375483049
1449,350,200,7.47420999457,0.387153565469,0.869266541778
1448,300,200,8.62034242167,0.202748405561,0.535522069393
1472,600,400,8.52026774727,0.213446938306,1.64168266776
1473,750,400,7.09837087457,0.19728844442,5.36425833971
1470,300,400,13.8923067303,0.605918749728,0.281989657007
1471,450,400,10.9634039945,0.589323013247,0.802691518642
1476,1200,400,5.30598109166,0.19075914904,1.12749139389
1477,-50,1000,20.1082677031,0.27621351362,1.76864250661
1474,900,400,6.20634699832,0.278988394405,0.455706266637
1475,1050,400,5.5567882777,0.186261912042,1.56657522546
1478,-150,1000,19.6550868623,0.258476614284,2.90352494592
1479,-300,1000,18.6534006728,0.29539907131,1.7075269753
