Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,400,300,2.943943004,0.10265948,3.133984642
1468,350,300,3.161578707,0.098223375,7.315452258
1465,200,300,3.636628342,0.110627681,13.97636833
1464,200,300,3.607142466,0.114598126,7.431746339
1467,300,300,3.178727154,0.105499967,8.642014449
1466,250,300,3.42261816,0.102173812,13.77373792
1461,50,300,4.347620042,0.120145799,14.76023765
1460,-850,300,2.690130193,0.091629609,9.104741708
1463,150,300,3.821785814,0.113483714,17.49080053
1462,100,300,3.997336842,0.112582196,21.42284058
1490,250,400,3.578972992,0.107081865,12.10930552
1491,300,400,3.523422809,0.103088246,9.798106875
1492,350,400,3.459296551,0.10687011,11.05686404
1493,400,400,3.185818666,0.109269945,8.841590934
1494,450,400,3.136088766,0.101663544,8.676100368
1496,650,400,2.811616384,0.093369154,7.716413014
1497,800,400,2.707031701,0.095155813,10.18773031
1498,950,400,2.590502814,0.091792058,7.605383906
1499,1100,400,2.50508301,0.090600692,8.995895039
1418,-200,150,3.125207119,0.102994291,16.9842337
1419,-300,150,2.755829367,0.098316522,8.83953485
1410,0,1200,4.118388858,0.118299655,17.08604002
1411,0,1400,4.215810184,0.111762286,13.47529076
1412,0,1600,4.121107633,0.123071678,17.96824704
1413,0,2000,4.179663647,0.12644811,14.81699102
1414,0,2500,4.055325979,0.124931049,13.30473781
1415,-40,150,4.513385167,0.122173926,55.92122452
1416,-80,150,3.987589202,0.114819737,25.6991961
1417,-140,150,3.30473584,0.114220924,20.85391816
1483,-1000,400,2.580078548,0.088300269,10.0400526
1482,-850,400,2.685066988,0.094078994,7.266790044
1481,-700,400,2.814619388,0.101623743,4.899493903
1480,-550,400,3.011566478,0.101008025,18.42381738
1487,150,400,3.769939498,0.121312368,19.14153391
1486,100,400,4.029216057,0.126090778,15.00696233
1485,50,400,4.088688442,0.115575399,25.369467
1484,-1200,400,2.632282089,0.097940122,5.816913595
1489,200,400,3.79938428,0.117150567,19.72408156
1488,200,400,3.823721907,0.11428525,24.96732018
1409,0,1000,4.150254839,0.127684329,19.43118336
1408,0,900,4.169652362,0.106943252,14.56656916
1403,0,300,4.198462028,0.116680881,17.62867659
1402,0,250,4.267925307,0.116620805,19.90263798
1401,0,200,4.368071452,0.115328194,20.33634155
1400,0,150,4.387503929,0.123556796,22.98470705
1407,0,700,4.011995195,0.122995874,15.59635574
1406,0,600,4.140213507,0.121585088,15.29641654
1405,0,500,4.270003366,0.116150636,24.79048299
1404,0,400,4.18960332,0.120370719,22.69182982
1436,-300,200,2.988856603,0.097653835,6.854906519
1437,-400,200,2.758394886,0.094063824,5.040985247
1434,-150,200,3.656630886,0.117562962,25.74388488
1435,-200,200,3.378591711,0.111084947,21.27900343
1432,-50,200,4.514434145,0.122423096,45.08746075
1433,-100,200,4.128287455,0.124639906,32.28383694
1430,400,150,2.596751318,0.092105804,4.032041076
1431,440,150,2.577389349,0.091071197,5.085004476
1438,-600,200,2.645027001,0.095430208,8.532078265
1439,50,200,4.220343698,0.128398394,13.89175053
1421,80,150,3.775119704,0.115159352,9.853509517
1420,40,150,4.15899517,0.123308837,24.54272177
1423,160,150,3.274713027,0.106992184,7.732834395
1422,120,150,3.41048123,0.118120407,7.666415688
1425,200,150,3.054643846,0.100723058,2.581233398
1424,200,150,3.059192253,0.09630361,8.650321062
1427,280,150,2.786251962,0.10848216,10.42307204
1426,240,150,2.964356653,0.09759918,5.650435522
1429,360,150,2.582389314,0.095259334,4.345168347
1428,320,150,2.709465963,0.091783383,6.058416341
1454,-200,300,3.782695862,0.112989316,31.31228066
1455,-250,300,3.490779123,0.117268988,25.62045728
1456,-300,300,3.237809712,0.10111516,15.43579462
1457,-400,300,3.053973003,0.098214736,6.014970783
1450,550,200,2.602836155,0.081851779,5.351252869
1451,600,200,2.522365399,0.088321847,11.47453267
1452,-50,300,4.501389694,0.136178085,50.47433774
1453,-100,300,4.333418049,0.127761133,32.72527314
1458,-550,300,2.88638873,0.102689468,6.946361452
1459,-700,300,2.729890261,0.090497348,4.5580885
1447,400,200,2.748241795,0.095828479,2.751736533
1446,350,200,2.886788028,0.091363661,3.98856172
1445,300,200,2.974839347,0.091037688,2.728105776
1444,250,200,3.103088969,0.097266775,4.384241874
1443,200,200,3.284799434,0.10346072,7.666917349
1442,200,200,3.448909628,0.106687904,5.754795813
1441,150,200,3.633323014,0.101305463,5.681712451
1440,100,200,3.834725109,0.116170563,10.66418
1449,500,200,2.623302887,0.080255596,7.665477658
1448,450,200,2.766211818,0.098769661,6.716694536
1472,600,300,2.764667074,0.103467362,2.692348342
1473,650,300,2.698137897,0.096792055,7.31423507
1470,450,300,2.900833543,0.103617064,4.675029233
1471,500,300,3.115220288,0.095295669,5.121523755
1476,-50,400,4.603759193,0.1317657,57.5547904
1477,-100,400,4.441595293,0.129665259,47.21560616
1474,700,300,2.526945708,0.095532114,4.71448481
1475,800,300,2.577601054,0.095217671,8.084914355
1478,-250,400,3.785186429,0.12223781,36.77999743
1479,-400,400,3.363205929,0.107982937,20.82230796
