Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1526,500,1000,16.60647612,0.368443272,0.428556949
1527,800,1000,13.60675536,0.284774644,1.952761039
1469,1200,400,6.361953674,0.294285468,0.301488594
1468,1000,400,7.018897932,0.225758918,0.536327417
1465,500,400,10.78209997,0.394830959,0.401949269
1464,350,400,13.09359535,0.261082074,1.01741324
1467,800,400,7.758843912,0.257536775,1.239167856
1466,650,400,8.819806659,0.236611689,0.363064558
1461,-1150,400,6.429157893,0.399550284,0.846048558
1460,-1000,400,6.91141757,0.252072961,0.980699617
1463,200,400,16.4687133,0.345654607,0.680669814
1462,50,400,19.47733772,0.287874149,1.181474016
1528,1400,1000,9.583786363,0.267497058,2.344337466
1529,2000,1000,7.585663811,0.256264283,0.27842978
1418,-200,150,9.457883113,0.258661097,1.391775446
1419,-240,150,8.712838577,0.355053069,0.550458199
1410,0,1200,19.67736681,0.28309505,1.524132385
1411,0,1400,19.96414072,0.31551243,1.788742698
1412,0,1600,19.51843652,0.495260568,0.926526821
1413,0,2000,19.76749842,0.416228624,0.274185514
1414,0,2500,19.90007832,0.419126349,0.650720491
1415,-60,150,17.19742996,0.311650251,3.015612796
1416,-120,150,13.17557139,0.27355808,5.593340969
1417,-160,150,10.89083422,0.276053274,2.420934646
1524,-2200,1000,7.314562026,0.344691659,0.676371253
1525,200,1000,19.26244265,0.377717494,0.464096989
1409,0,1000,19.88420015,0.277719724,0.383718223
1408,0,900,19.58968241,0.513926728,0.490880038
1520,-700,1000,14.53815185,0.252085224,1.808912491
1521,-1000,1000,11.78081058,0.298135102,0.624059851
1522,-1300,1000,10.05969793,0.386811142,0.206234718
1523,-1600,1000,8.84201393,0.256116553,0.914382515
1403,0,300,19.59288854,0.349161634,0.482852485
1402,0,250,19.32559778,0.375387668,0.875099881
1401,0,200,19.3083583,0.319172286,4.581840054
1400,0,150,19.23316256,0.306463556,1.967511511
1407,0,700,19.53287165,0.577636138,0.134763698
1406,0,600,19.60379512,0.30130075,1.002407108
1405,0,500,19.49226339,0.31636196,1.095662307
1404,0,400,19.5847916,0.301241306,0.951999616
1436,-400,200,7.43797935,0.262483912,0.372785076
1437,-450,200,7.268418039,0.214681342,0.706798389
1434,-350,200,8.403614831,0.286429209,0.419053449
1435,-400,200,7.735448786,0.235744438,0.353582207
1432,-250,200,10.19075853,0.275171231,1.076851539
1433,-300,200,8.985596096,0.252921313,0.152600646
1430,-150,200,13.70675835,0.334827153,0.675651936
1431,-200,200,11.66471783,0.329968027,1.389828811
1438,-500,200,6.712610605,0.34728493,0.382773535
1439,-550,200,6.607649515,0.370416906,0.426051409
1421,-320,150,7.290106587,0.282924457,0.678758056
1420,-280,150,7.789067813,0.197894648,0.463741297
1423,-400,150,6.525443355,0.270944725,0.857296717
1422,-360,150,6.790077403,0.257243015,0.225489378
1425,-440,150,6.411269863,0.245252159,0.68535022
1424,-400,150,6.594434642,0.262221415,0.525188028
1427,300,150,7.562746136,0.451192576,0.156082844
1426,100,150,15.0420431,0.342229623,1.658253057
1429,-100,200,15.9641961,0.319799676,0.682670651
1428,-50,200,18.09762969,0.397749423,0.429899388
1454,-500,400,10.31517048,0.266236034,1.101125816
1455,-550,400,9.696122961,0.558997014,0.092055721
1456,-600,400,9.118722673,0.266361334,2.625376417
1457,-650,400,8.63140286,0.254184503,0.32210872
1450,-350,400,13.00137624,0.379232004,0.245368327
1451,-400,400,11.57788713,0.248463384,2.055354679
1452,-400,400,11.79802219,0.297485323,0.521539974
1453,-450,400,10.96508935,0.263813484,0.963883351
1515,-350,1000,17.564916,0.44812746,0.177990101
1514,-250,1000,18.60521548,0.3340172,0.103290447
1517,-400,1000,17.45984106,0.322145386,0.382632338
1516,-400,1000,17.46363981,0.289814906,0.654437664
1458,-700,400,8.273696988,0.282254133,0.422751085
1459,-850,400,7.518996935,0.197540856,0.311187479
1513,-100,1000,19.44070766,0.335642212,1.830773606
1519,-550,1000,15.93834726,0.384753261,0.825822081
1518,-450,1000,16.90361256,0.29294006,0.819607579
1447,-200,400,16.12886624,0.350623104,0.160221618
1446,-150,400,17.46199569,0.28110412,1.474368769
1445,-100,400,18.53822057,0.374960217,0.422147043
1444,600,200,6.361309493,0.239066095,0.683663627
1443,400,200,7.632743444,0.208093546,1.294000315
1442,200,200,12.14963625,0.307723271,1.300063538
1441,100,200,16.60987984,0.386250548,0.598280874
1440,-600,200,6.240503371,0.391037009,0.150463766
1449,-300,400,13.87819416,0.259653569,0.292503474
1448,-250,400,14.69145029,0.266460937,1.604881587
