Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,400,300,3.27124643477,0.230846229227,1.61525955141
1468,350,300,3.62930908596,0.208056175871,2.0166664522
1465,200,300,4.50582776546,0.250023816342,1.82278786313
1464,200,300,4.59782964264,0.244774055689,1.82160808472
1467,300,300,3.99788434709,0.238073638183,3.25122280909
1466,250,300,4.21973482883,0.234388159357,1.01020433439
1461,50,300,5.08578802958,0.264967251365,1.34284964896
1460,-850,300,2.62934813035,0.200993140277,2.89109763105
1463,150,300,4.89010073163,0.269306821635,2.04251485588
1462,100,300,5.05450250607,0.272398062891,1.61178379657
1490,250,400,4.13350492493,0.250469465869,2.54969787526
1491,300,400,3.83972241589,0.263742271565,1.50059062129
1492,350,400,3.80007669645,0.238947711446,1.82765782665
1493,400,400,3.65889248081,0.239864192181,2.79534015285
1494,450,400,3.4613219615,0.216593979279,2.71824202294
1495,500,400,3.36723862796,0.23151649498,0.788014392156
1496,650,400,2.9071622948,0.215856620813,3.06104595397
1497,800,400,2.71647608745,0.202568092332,3.21574240237
1498,950,400,2.51492833318,0.214039954358,1.04494628927
1499,1100,400,2.5362154407,0.187717967844,2.011099533
1418,-200,150,3.15772583038,0.218361529924,2.33598429843
1419,-300,150,2.86736871519,0.197321353754,4.20202082135
1410,0,1200,4.06106689402,0.23201963452,3.52974367748
1411,0,1400,4.0484592882,0.230972589995,2.90243667564
1412,0,1600,4.1379958535,0.261280107039,1.19423473187
1413,0,2000,4.35929797495,0.225873318377,1.73785732127
1414,0,2500,4.09237093154,0.239168058456,2.33239168595
1415,-40,150,5.42469115497,0.272475017678,1.83102499446
1416,-80,150,4.92531101869,0.252192654603,1.2011959678
1417,-140,150,3.91440730797,0.22172261317,3.72725522157
1483,-1000,400,2.57054241141,0.209159146084,3.35907520224
1482,-850,400,2.68334482702,0.200598103561,2.72796727664
1481,-700,400,2.99621162594,0.206280117624,2.64169637289
1480,-550,400,3.04405498144,0.215471830933,2.52349199135
1487,150,400,4.47886624165,0.236976378304,1.39795075229
1486,100,400,4.65271620719,0.255477939687,1.69615861974
1485,50,400,4.6547417991,0.282194351846,1.7207010027
1484,-1200,400,2.48144675265,0.191507202025,3.60182155221
1489,200,400,4.35965252147,0.218780316243,1.41002918268
1488,200,400,4.25282870283,0.251091953259,2.54590584472
1409,0,1000,4.17235213751,0.242501605119,1.35437610767
1408,0,900,4.2798927094,0.221924169167,5.09148557592
1403,0,300,4.79283266516,0.255658184858,1.41611593976
1402,0,250,5.19673716519,0.269892454268,1.06516129372
1401,0,200,5.51152903963,0.265334041482,0.27970170708
1400,0,150,5.70293059991,0.259302074474,3.22218576284
1407,0,700,4.23215804169,0.226929584542,2.5210989039
1406,0,600,4.17502360187,0.26679498421,1.15362926648
1405,0,500,4.56222370039,0.233494401518,2.36709481114
1404,0,400,4.63644433444,0.243057341984,1.88608759537
1436,-300,200,3.2595135141,0.215094223206,2.27629967033
1437,-400,200,2.85548120246,0.193883752304,2.27090867817
1434,-150,200,4.02268415944,0.222448851892,3.52358496623
1435,-200,200,3.68292825821,0.206292596015,5.06376432515
1432,-50,200,4.96043757963,0.284207521674,2.20965907342
1433,-100,200,4.56577021198,0.247156770939,3.13325244105
1430,400,150,2.64216100946,0.211527211353,1.1108482299
1431,440,150,2.94907348394,0.194008380476,4.14622285914
1438,-600,200,2.45320459737,0.195581062072,3.39113249419
1439,50,200,5.81256730324,0.29640833615,0.426830788537
1421,80,150,6.01850363469,0.289260239794,0.915571586418
1420,40,150,5.9664481619,0.291871558363,1.23874765045
1423,160,150,5.08854995502,0.27100335976,0.97481836179
1422,120,150,5.76393458681,0.269049114309,0.489339949277
1425,200,150,4.95762877305,0.26065067674,1.41095381074
1424,200,150,5.03583809724,0.253523043648,0.327515134785
1427,280,150,4.18307614347,0.232009717713,2.16188788925
1426,240,150,4.53993605197,0.225708767295,1.62709341647
1429,360,150,3.16929494851,0.214429054212,2.07571896632
1428,320,150,3.50956182168,0.227212050846,2.59347037052
1454,-200,300,3.83354782887,0.243265054839,3.04102169121
1455,-250,300,3.7894677243,0.23445125682,4.40685812626
1456,-300,300,3.4712992785,0.223343669748,2.65042447886
1457,-400,300,3.20129457735,0.21157387669,7.16103829115
1450,550,200,2.5996829316,0.190934370614,3.97048388284
1451,600,200,2.58525702848,0.192284078322,1.99857981522
1452,-50,300,4.82111582824,0.259266968204,1.13284549349
1453,-100,300,4.84791721147,0.269228398171,1.89536854188
1458,-550,300,2.7960227976,0.199040492629,1.84160465554
1459,-700,300,2.88493451277,0.191215290718,4.99821960013
1447,400,200,3.22586049884,0.218178631568,1.51570499764
1446,350,200,3.30519828306,0.208607706987,2.11115740033
1445,300,200,3.96206619884,0.238463055784,3.35847057778
1444,250,200,4.35328576792,0.248342265101,1.3266498722
1443,200,200,4.70659654351,0.244271522067,2.1100492526
1442,200,200,4.69826000805,0.243579073701,3.09004700506
1441,150,200,5.37383771986,0.264080708563,1.31945509263
1440,100,200,5.40944291772,0.273480401911,0.994553352721
1449,500,200,2.74415492429,0.18194366736,4.43634785153
1448,450,200,3.02236037963,0.209573086475,1.98990322513
1472,600,300,2.75408547017,0.216894964828,2.2618315528
1473,650,300,2.75116493239,0.203991574752,2.71966721079
1470,450,300,3.23372581923,0.221792529577,2.09371270894
1471,500,300,3.02531699574,0.210200013622,1.15954976016
1476,-50,400,4.82327839675,0.258960273267,1.89998547495
1477,-100,400,4.52284550339,0.243883167771,3.20888875163
1474,700,300,2.57317612251,0.208022420449,2.23733859549
1475,800,300,2.59640068017,0.197353035238,2.62444413682
1478,-250,400,3.87397726162,0.225296231778,3.14042437515
1479,-400,400,3.47282520224,0.225578928345,1.58327899677
