Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1444,100,200,2.349560907,0.330882984,3.48994285
1492,2400,1000,2.178333301,0.310650324,0.828314254
1441,-500,200,2.473917116,0.295561066,5.180344334
1406,0,600,2.774733786,0.276603107,1.596488262
1445,150,200,2.41031859,0.260144703,4.219501633
1462,-900,400,2.327640873,0.223236817,1.780900878
1407,0,700,3.040791899,0.215964839,3.18715595
1447,250,200,2.154082227,0.209372007,0.492961543
1485,50,1000,2.747701689,0.208822322,1.468749043
1439,-350,200,1.607000981,0.191229211,4.316887044
1404,0,400,2.859503965,0.187551108,1.885958315
1424,40,150,2.623427498,0.178813093,5.823508678
1470,300,400,2.467128198,0.175124603,2.093284968
1428,200,150,2.216690075,0.170678876,1.851984076
1490,1200,1000,2.329413786,0.169569879,1.453235854
1480,-600,1000,2.417650113,0.167285273,1.389169711
1481,-900,1000,2.356467582,0.163088867,0.500123723
1476,1200,400,2.20427027,0.158689035,1.727173269
1468,200,400,2.597229077,0.158487741,2.376218335
1463,-1050,400,2.17209876,0.148297821,0.232858672
1454,-100,400,2.716437579,0.147784585,2.593352567
1427,160,150,2.33399486,0.145296154,0.887974595
1472,600,400,2.119304153,0.143589341,2.468083055
1417,-120,150,2.401569537,0.14349117,4.165498635
1442,-600,200,2.045542495,0.138068553,10.36592973
1486,150,1000,2.798690226,0.135761746,3.511244052
1456,-200,400,2.640483327,0.13365577,2.460929126
1423,-400,150,2.106976174,0.12546451,5.004417304
1416,-80,150,2.45679639,0.123409884,2.612320421
1400,0,150,2.785207846,0.118091898,12.63230083
1431,340,150,2.059741114,0.115552481,2.056823725
1489,900,1000,2.433977604,0.113743893,2.18231434
1477,-50,1000,2.778132864,0.111329613,11.37223121
1420,-240,150,2.108000603,0.108600785,4.890798502
1471,450,400,2.406193229,0.106955998,2.264675447
1409,0,1000,2.878469172,0.106527654,11.74719951
1434,-100,200,2.420263483,0.106053428,2.428061598
1426,120,150,2.366247243,0.104255147,2.50284898
1473,750,400,2.194997106,0.103473075,0.810511669
1487,300,1000,2.678608079,0.103369966,8.922770591
1443,50,200,2.754786279,0.101949211,1.405838785
1405,0,500,2.796631314,0.098379258,10.42902474
1457,-250,400,2.476433763,0.097074974,8.622483633
1411,0,1400,2.742986805,0.096844646,15.69258455
1461,-750,400,2.218305748,0.096549237,10.37139956
1418,-160,150,2.314126987,0.095057828,2.627154004
1488,600,1000,2.399832157,0.092627898,2.832381405
1478,-150,1000,2.849699953,0.09185583,5.609911252
1491,1800,1000,2.19564178,0.091675242,4.970487878
1484,-2400,1000,2.19859149,0.090578344,1.880040741
1459,-450,400,2.370144381,0.0890604,4.559618732
1483,-1800,1000,2.205771968,0.088007449,0.433027698
1403,0,300,2.836703486,0.087629979,10.20867255
1469,250,400,2.484957954,0.087594286,19.8829748
1460,-600,400,2.155805286,0.083515355,4.072584428
1410,0,1200,2.853229284,0.082457136,14.7742987
1435,-150,200,2.278795724,0.081293439,9.01347628
1430,280,150,2.14153288,0.081059483,6.102192522
1433,-50,200,2.612794236,0.079914689,8.206441227
1448,300,200,2.113822476,0.078922962,9.706018561
1474,900,400,2.058204261,0.074553282,5.2357061
1429,240,150,2.223604616,0.074401525,8.091117291
1422,-340,150,2.087958568,0.073204273,3.51803241
1408,0,900,2.96492043,0.072154563,11.16899872
1415,-40,150,2.671745955,0.072021749,10.6523456
1455,-150,400,2.593872427,0.07156177,21.55585668
1449,350,200,2.171857042,0.071348298,3.752412086
1467,150,400,2.613199975,0.071259041,7.452257638
1402,0,250,2.795319721,0.070938665,24.27520362
1414,0,2500,2.647492493,0.070903659,26.18781955
1453,-50,400,2.831105693,0.068781478,24.72118874
1479,-300,1000,2.681312445,0.068412684,26.24182758
1412,0,1600,2.637638418,0.067364388,16.09635823
1458,-300,400,2.469242024,0.065172147,2.060041036
1464,-1200,400,2.029429557,0.06514722,25.2507903
1452,600,200,1.837823154,0.063963243,13.88094657
1438,-300,200,2.253710353,0.063090556,15.32618472
1425,80,150,2.48630157,0.062978067,8.371624299
1413,0,2000,2.703904336,0.062722436,37.15924006
1465,50,400,2.794847709,0.061943957,16.06087813
1437,-250,200,2.271534938,0.061124939,2.693042215
1475,1050,400,1.912795441,0.059872763,9.437743311
1466,100,400,2.727342693,0.059633375,8.997711154
1436,-200,200,2.372443524,0.059563433,6.938646194
1421,-280,150,2.06140658,0.058254416,25.40103577
1450,400,200,2.268131049,0.056851597,12.8988711
1401,0,200,2.856391972,0.056619578,27.47942763
1432,400,150,2.124842732,0.055392623,8.923952449
1482,-1200,1000,2.214271787,0.054671055,13.91953461
1419,-200,150,2.199115689,0.053050876,19.65682454
