Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1448,300,200,2.132069795,0.391029882,5.515128544
1469,250,400,2.25029258,0.347768138,0.171096722
1479,-300,1000,2.031258408,0.336226545,0.183100182
1414,0,2500,2.487695336,0.305661212,1.161054117
1438,-300,200,1.948980411,0.300211131,0.30596369
1491,1800,1000,0.338030292,0.281214667,1.633618895
1421,-280,150,2.1290941,0.278905502,0.232624106
1485,50,1000,2.394923985,0.275869803,0.96063363
1446,200,200,2.180325959,0.270654759,0.274451763
1472,600,400,2.167328055,0.269801361,0.415698683
1400,0,150,2.22274612,0.265622865,1.04641335
1488,600,1000,2.25013423,0.256587769,0.058611103
1424,40,150,2.064921887,0.249482833,0.368631805
1447,250,200,2.112951759,0.231809787,0.170865312
1467,150,400,2.331678817,0.228587087,0.364288614
1477,-50,1000,2.388934702,0.222517874,1.347429462
1437,-250,200,3.095380466,0.222517564,72.17800792
1420,-240,150,2.176102671,0.215540941,0.245695151
1454,-100,400,2.366696488,0.19672101,0.662702343
1444,100,200,2.240525253,0.18975287,0.458126206
1470,300,400,2.169748142,0.188724795,0.465970624
1486,150,1000,2.301770474,0.183358249,2.062781535
1410,0,1200,2.467301579,0.17854309,4.435881654
1458,-300,400,2.070671803,0.177800346,0.244928515
1483,-1800,1000,2.041235365,0.165695832,0.387860716
1457,-250,400,2.189589027,0.165036266,0.447940167
1428,200,150,2.162635998,0.164597029,0.306820477
1445,150,200,1.994973165,0.162674195,0.57046909
1412,0,1600,2.459051283,0.154762584,3.104515016
1427,160,150,1.883415298,0.154133974,7.811410544
1429,240,150,1.982996063,0.152901472,0.312612328
1489,900,1000,2.167764921,0.144923144,1.424799097
1430,280,150,2.189624919,0.141871234,0.577626575
1473,750,400,2.964383178,0.140852614,38.93138361
1404,0,400,2.357771715,0.13441912,4.128653791
1460,-600,400,2.007025943,0.133737246,1.809986788
1463,-1050,400,1.828329611,0.133538792,1.636053881
1411,0,1400,2.272855156,0.131516918,2.623354158
1475,1050,400,2.101081425,0.130033387,1.706829453
1451,500,200,2.086325739,0.12816524,0.157672547
1433,-50,200,2.379097647,0.124663137,2.269607499
1456,-200,400,2.125375041,0.116678308,3.83916363
1418,-160,150,2.157392585,0.116209146,0.921581401
1481,-900,1000,2.096586393,0.115863015,1.569609067
1419,-200,150,1.923927394,0.115054278,0.338026367
1407,0,700,2.420440113,0.114977706,10.34678124
1474,900,400,1.907270973,0.113174091,1.036088665
1417,-120,150,2.095596683,0.112556256,1.144835105
1403,0,300,2.362254788,0.11249823,5.314378512
1434,-100,200,2.173047093,0.108852042,3.046221665
1443,50,200,2.252710573,0.105461574,0.937476925
1435,-150,200,2.059524794,0.100339082,4.635489885
1466,100,400,2.438548708,0.099492003,2.136891737
1408,0,900,2.443646922,0.099313584,4.132737783
1487,300,1000,2.364920733,0.097770752,0.909045975
1402,0,250,2.771635275,0.096970557,214.344124
1425,80,150,2.146844457,0.093683036,1.588835506
1415,-40,150,2.244324864,0.093044899,8.402312049
1401,0,200,2.287924725,0.092988257,5.889603344
1453,-50,400,2.18552781,0.091806757,8.110536211
1482,-1200,1000,1.966259717,0.091204102,1.148760689
1440,-400,200,2.095756563,0.090172247,1.256535137
1462,-900,400,2.120159671,0.089277707,1.163667201
1441,-500,200,2.035385258,0.088497749,1.462010595
1464,-1200,400,1.956805727,0.088234841,6.574928888
1405,0,500,2.341389396,0.087256757,7.796057597
1471,450,400,1.935681406,0.084027774,6.157622139
1476,1200,400,2.082578825,0.083213188,2.544095048
1439,-350,200,1.978890497,0.08117581,0.449220498
1442,-600,200,2.040088429,0.079466963,2.650917667
1426,120,150,2.126017314,0.079067483,1.547945453
1461,-750,400,1.984979658,0.078986617,3.568418061
1465,50,400,2.216980802,0.077346579,13.3152977
1436,-200,200,2.178713397,0.077256058,4.805974141
1490,1200,1000,2.083146756,0.075707114,4.669708145
1422,-340,150,1.97202491,0.072972655,4.95799815
1432,400,150,1.978620121,0.072493168,2.236786015
1480,-600,1000,2.116282801,0.070414881,4.112530594
1468,200,400,2.056709877,0.069723099,11.07244196
1416,-80,150,2.145767627,0.069650193,10.41689812
1406,0,600,2.311232384,0.069047413,22.16753791
1413,0,2000,2.300782243,0.068849826,15.8818525
1409,0,1000,2.430597821,0.067993134,7.481193181
1478,-150,1000,2.203269319,0.067841119,18.27278795
1452,600,200,2.103486473,0.067183503,6.92166338
1455,-150,400,2.284769743,0.066889067,3.177970322
1484,-2400,1000,1.912453915,0.066521523,4.655799142
1423,-400,150,1.98806836,0.066408811,4.299982258
1459,-450,400,2.031012772,0.065501535,5.15261425
1431,340,150,1.91093422,0.06388291,3.759660292
1492,2400,1000,1.895691095,0.061300674,6.950265641
