Folder Number, Corr. Offset (Hz), SLP (Hz), R1p_MC, R1p_err_MC, red. chi-sq
101,0,100,222.058001506,17.296445524,6.09282171684
102,0,150,209.554997715,14.9770834013,0.801821426174
103,0,200,210.902313883,12.309302137,1.61861406394
104,0,250,203.341388839,12.9735433329,0.57038866532
105,0,300,213.020645222,14.206535383,1.15335605725
106,0,400,202.959248906,12.6690758335,1.34481256568
107,0,500,187.323750028,12.9808230291,0.42622423394
108,0,700,159.887592692,10.9014485638,0.176528151123
109,0,1000,140.284079951,8.76912190744,0.363262495724
110,0,1200,124.582275419,8.81462087929,0.489665587487
111,0,1600,102.538336489,7.84944733516,0.35635611358
112,0,2000,93.2860989048,7.83008989237,0.496912404855
113,0,2400,80.6001019367,7.11970044541,0.253212464877
114,0,2800,79.6692781296,7.09901705277,0.286431941443
201,-600,200,18.7898240285,4.29759907152,0.319142890601
202,-500,200,22.8619991297,4.98267092038,0.408876662049
203,-400,200,33.8633892941,5.36796923619,0.100087869396
204,-300,200,56.8464744561,5.81444596499,0.847933012107
205,-250,200,73.5411413952,6.53096206281,0.465907034802
206,-200,200,100.939466954,8.02970594361,0.453060452182
207,-150,200,125.638021902,9.11673462769,0.269448292103
208,-100,200,166.940357503,10.621325417,0.731503167269
209,-50,200,203.277148638,13.0580714353,0.258179601471
210,500,200,25.7075502898,4.96070752643,0.625379007002
211,400,200,43.7047641233,5.53222423533,0.162386286812
212,300,200,62.1497115895,5.97253256312,1.28738089487
213,250,200,77.0249910433,6.33624472017,1.03868930092
214,200,200,97.8211770815,7.95642919918,1.4784972903
215,150,200,127.754042345,8.63957451413,1.36082758428
216,100,200,155.710891264,10.8519106092,1.04749512509
217,50,200,185.576380677,13.9834312936,1.16564590102
301,-1300,400,9.9243888781,4.39237586149,0.990061283884
302,-1100,400,17.1800349402,4.80236603303,0.538339485661
303,-1000,400,15.6724233876,4.55168008957,0.390686607805
304,-800,400,23.7092768983,4.75759197536,0.575843577597
305,-700,400,34.8300660538,5.52313541109,0.830828574349
306,-600,400,41.4782384317,6.17209783973,0.137932315812
307,-500,400,57.9517349124,5.71537121889,0.405785656298
308,-400,400,75.7274749844,6.22094538765,0.510090411683
309,-300,400,110.738699794,8.02094793401,0.109068974836
310,-200,400,150.043487508,9.91137433841,0.0740550281217
311,-100,400,181.631344179,11.5513826359,0.585670870256
312,-50,400,192.798056217,13.3405135654,0.44870192261
313,1300,400,13.4858729274,5.04052148887,0.529545505055
314,1100,400,18.5137071694,4.80336128017,0.286067674967
315,900,400,29.4973070366,5.11482422639,0.42261129869
316,700,400,42.2272646431,4.74981634223,0.111159698906
317,600,400,56.5854249166,5.99162363923,0.684887317326
318,500,400,75.4986231378,6.57467260942,0.40592867021
319,400,400,96.739004002,7.66851498049,0.165164325738
320,300,400,128.713038293,7.69044192993,1.11006074021
321,200,400,157.737505235,9.78673798857,0.404255793112
322,100,400,186.686689974,13.3133973895,0.486206654447
401,-1700,700,14.2996173732,4.68006235881,0.193222570973
402,-1500,700,17.8631220108,4.65150440371,2.34090783901
403,-1300,700,25.3272136143,5.23253383561,0.289801551101
404,-1100,700,33.495632965,4.82570000237,0.702869987441
405,-900,700,44.2320491574,5.61196360217,0.760135639527
406,-700,700,62.0010516873,6.75033084443,0.577430602039
407,-500,700,91.7370826243,7.07519091147,0.530720601325
408,-400,700,106.625692242,7.14493754247,0.912805754681
409,-300,700,122.166263874,9.06687943855,0.205796828303
410,-200,700,141.656141722,10.1140562677,0.106544059822
411,-100,700,156.101860675,10.1743621713,0.548677518672
412,1700,700,15.827577357,4.36645631857,0.374904076441
413,1500,700,20.7018040606,4.61371583687,0.701506869424
414,1300,700,29.9631893497,5.31535000267,0.162889947516
415,1100,700,39.2889842502,5.92885353405,0.320532336201
416,900,700,50.3056930295,6.13508705918,0.21685937426
417,700,700,69.8128580725,6.37401427024,0.384267591087
418,500,700,107.985945077,7.42179655797,0.16880788831
419,400,700,118.199332907,7.80527637338,0.061335517144
420,300,700,138.485207209,9.21395385571,0.512481744437
421,200,700,150.237545466,10.3392700669,0.276633674593
422,100,700,165.229942932,11.1094583662,0.559636694772
501,-2200,1000,14.5439550015,4.75568761152,0.18379355189
502,-1900,1000,18.7721399049,5.21555059492,0.543593398345
503,-1700,1000,20.0078888758,4.89859060007,0.481192330302
504,-1500,1000,28.668916029,5.23535494331,0.135376429579
505,-1300,1000,33.4167374915,5.06724949769,0.172760412394
506,-1100,1000,47.9017998932,5.64996904646,0.291000984295
507,-900,1000,58.3578516895,5.98320762241,0.206277995061
508,-700,1000,73.8970702895,6.82822057869,0.594882472751
509,-500,1000,99.3773406688,8.401009403,0.411127178946
510,-400,1000,101.326765109,7.64227742859,0.843358542039
511,-300,1000,122.533143371,8.50409515351,0.320271555578
512,-200,1000,131.077873326,7.4283994484,0.889392760812
513,-100,1000,131.209572607,9.76079919655,0.263719947977
514,2200,1000,15.5735153623,4.90589818088,0.429273739402
515,1900,1000,24.1747400904,4.95776303689,0.540575357952
516,1700,1000,26.0201161019,5.11420105004,0.285063293644
517,1500,1000,31.8549263438,5.09368553418,0.465033363826
518,1300,1000,37.6378059916,5.74969708003,0.351586697758
519,1100,1000,54.4595182056,5.60002823014,0.103158445419
520,900,1000,69.4916096406,6.29845281869,0.535018559773
521,700,1000,87.0533120826,7.15477845298,0.243470450624
522,500,1000,102.756428692,7.87646801681,0.133268802686
523,400,1000,125.60074973,7.83972645188,0.405313805177
524,300,1000,122.575453609,9.73195376147,0.54220410148
525,200,1000,132.097698532,9.99383705914,0.24547376654
526,100,1000,136.216944142,9.46800576347,0.405501988972
