Folder Number,Offset,SLP, R1p_MC, R1p_err_MC, red. chi-sq
101,0,100,298.9735854,52.12050655,0.822881239
102,0,150,332.445312,101.7743564,0.268090454
103,0,200,281.8659993,47.89211274,0.810660126
104,0,250,251.6560148,31.71137004,0.539390402
105,0,300,257.1610546,35.81567875,1.288962467
106,0,400,221.1138203,26.88113465,1.760448531
107,0,500,243.5483378,34.44161567,0.936351706
108,0,700,190.7567038,28.76450636,2.865478706
109,0,900,168.5838186,24.11013185,1.102282985
110,0,1200,135.7112506,25.4596207,0.705628648
111,0,1600,124.3893926,23.21051125,2.559226644
112,0,2000,99.67376502,21.73445647,0.490026126
113,0,2400,93.40214538,22.34473133,1.607940566
114,0,2800,83.91229829,18.97504923,1.440901926
201,-600,200,20.17402239,16.45968842,1.682810201
202,-500,200,22.38291528,16.48681356,1.489903055
203,-400,200,42.26034937,20.63828579,0.793804009
204,-350,200,57.67190587,21.70615475,1.446039336
205,-300,200,69.70816405,19.37825333,0.927687081
206,-250,200,87.86084174,24.0678736,0.358588444
207,-200,200,116.5628569,23.07250956,0.349672945
208,-150,200,153.4434946,30.59406269,0.860130704
209,-100,200,193.0251738,22.78186887,2.587617196
210,-50,200,243.1496245,27.34367251,0.903188488
211,600,200,11.0962281,16.21689271,1.018489495
212,500,200,47.53887242,19.48538248,0.162171166
213,400,200,71.70382491,19.47864717,0.429619205
214,350,200,80.71738682,23.60751726,0.227382368
215,300,200,101.9113167,21.62703642,0.943818598
216,250,200,118.54468,21.2877251,0.8719389
217,200,200,153.3544916,21.53631068,0.487156494
218,150,200,172.8882531,24.1440625,2.533357769
219,100,200,225.3650169,31.50710816,1.705768396
220,50,200,252.4072142,35.10153404,0.984009461
301,-1100,400,9.864050681,17.40029561,2.133644713
302,-900,400,23.75158236,16.85181207,1.712857484
303,-700,400,34.11417444,23.62301764,1.145903123
304,-600,400,49.18617881,19.45697032,1.831622708
305,-500,400,73.75221421,23.63335986,1.305258073
306,-450,400,84.39462331,22.1627132,0.482244302
307,-400,400,96.30913028,21.35394175,0.954120628
308,-350,400,105.9259607,20.66278202,0.551855842
309,-300,400,122.4145461,25.2927403,1.027459724
310,-200,400,173.9122639,24.20291421,2.345414901
311,-100,400,218.2839565,27.93621992,1.259744056
312,1100,400,26.8778614,18.46285102,0.816124606
313,900,400,37.78359632,17.43837983,0.887329405
314,700,400,64.48443732,17.85679962,2.973025415
315,600,400,78.69614175,19.89400016,1.931099469
316,500,400,99.38982289,20.47064406,1.385503928
317,400,400,135.3966982,20.26104325,0.464179082
318,300,400,174.7873066,24.59265578,1.435336555
319,200,400,204.1661205,29.20405475,0.791919984
320,100,400,260.6823754,28.47297592,1.061710226
401,-2400,700,20.74668329,18.80496113,1.118997543
402,-2100,700,10.56087271,19.78138699,1.587741467
403,-1800,700,3.908532084,19.31424106,0.79183173
404,-1500,700,20.06681737,18.23846551,0.225863095
405,-1200,700,32.92859912,15.57649197,1.820213676
406,-1000,700,51.69875567,16.04475581,1.871986707
407,-800,700,56.32968173,22.44650184,2.589385483
408,-600,700,86.67847026,22.64714315,1.401554828
409,-500,700,98.29421092,20.42131271,0.797934485
410,-400,700,131.4231726,25.7928272,0.553298372
411,-300,700,153.0587073,26.0016418,0.609869824
412,-200,700,181.0634774,26.89522294,0.707567591
413,-100,700,188.6154993,28.87646441,0.678521235
414,1700,700,16.48577062,16.90188341,1.894420757
415,1400,700,32.39008915,17.80773615,0.61677339
416,1100,700,59.42249339,20.05421241,1.483429163
417,900,700,80.78564227,21.16429232,1.621532824
418,700,700,97.59342692,20.70515205,0.436554348
419,500,700,135.1702428,27.96243329,1.604052563
420,400,700,144.9997576,24.58185804,0.372178264
421,300,700,177.5799052,27.34281162,2.44594778
422,200,700,191.9848399,26.63183432,0.303185762
423,100,700,210.2080055,31.99590031,1.486753732
502,-2600,1000,17.94613828,18.0432024,0.536824597
503,-2200,1000,17.99309468,17.94091944,1.285864486
504,-1800,1000,32.52362364,20.90902801,1.515111826
505,-1500,1000,37.18149961,18.6131368,1.76503386
506,-1200,1000,33.04712265,18.05129711,0.871044645
507,-900,1000,71.55321227,18.64892295,1.655692069
508,-700,1000,82.87039156,18.98859723,0.267861998
509,-500,1000,105.2880591,23.46194908,0.723375505
510,-400,1000,139.8243957,20.22613519,0.535536441
511,-300,1000,140.8777923,27.3852694,0.766431681
512,-200,1000,143.6346536,23.26738876,0.616546948
513,-100,1000,168.6132725,23.90610117,0.590123065
514,2600,1000,19.10714899,16.6044273,0.934285548
515,2200,1000,28.89386052,16.93578543,0.493029668
516,1800,1000,21.65051547,17.41227043,0.670070784
517,1400,1000,43.40062739,21.23693129,0.482756843
518,1100,1000,76.82972734,17.8519476,0.61629819
519,900,1000,68.26320006,22.35224996,0.712884035
520,700,1000,104.7170767,18.74772104,2.735614769
521,500,1000,134.1076244,24.49505931,0.435043689
522,400,1000,150.2121101,27.71193681,1.854818491
523,300,1000,155.6822333,23.46337352,0.428587682
524,200,1000,159.9570592,23.2719892,1.235133548
525,100,1000,176.6378766,28.64665997,1.016673801
