Folder,Offset,SLP,R1p,R1p_err,RedChiSq
101,0,150,236.6351659,62.51340557,1.170062969
102,0,200,191.0509076,51.67564126,0.067783113
103,0,250,209.0181587,58.83699024,0.673734041
104,0,300,204.7373639,58.13889483,0.694941201
105,0,400,128.0606067,50.60721045,0.212565403
106,0,500,135.6185719,45.49863675,0.143671364
107,0,600,136.6373548,49.63543145,0.683168175
108,0,800,126.0431912,47.07952616,0.68747804
109,0,1000,82.06649234,47.21905311,0.502347064
110,0,1600,81.16298076,39.24453652,0.065692068
111,0,2000,95.13123266,43.84233809,1.257794359
112,0,2500,91.02779798,40.31886335,0.85590625
113,0,3500,73.37747618,42.12192103,1.556498325
203,-300,200,42.7560761,38.30268949,1.157387085
204,-200,200,46.49112934,38.24044887,0.241686298
205,-100,200,135.5463383,44.38232441,0.342485228
206,-50,200,169.5520984,48.37225897,0.525984662
207,-25,200,161.0936275,46.72450214,0.670732678
210,300,200,70.04017354,36.29617096,0.972336553
211,200,200,99.24002117,46.7238396,0.274538389
212,100,200,151.2064091,44.93050176,0.289931079
213,50,200,160.6075836,51.44871554,0.297873828
214,25,200,154.3181581,52.71803808,0.088825781
302,-600,400,14.69911362,31.47082807,0.108286167
303,-500,400,43.73533408,42.68726564,0.663666268
304,-400,400,47.24359968,37.99658505,0.411675574
305,-300,400,73.57898112,45.41005199,0.322961034
306,-200,400,124.1810973,50.30434269,0.315086449
307,-100,400,173.3285362,54.96398682,0.105031109
308,-50,400,112.9691256,48.54369644,1.066572802
310,600,400,46.31757936,41.56978989,0.134077751
311,500,400,42.97519365,39.92758711,0.044266009
312,400,400,95.24106547,43.52582766,0.114945911
313,300,400,101.5057456,48.03908217,0.649365936
314,200,400,167.6338533,51.9330911,0.646154109
315,100,400,157.8765987,56.74125156,0.154928789
316,50,400,149.0411485,46.65226833,0.238697727
403,-900,600,11.12235998,36.81560719,1.601559254
404,-700,600,67.37635137,37.46058864,0.699619197
405,-500,600,66.35775574,42.49681659,0.310946059
406,-300,600,76.4642051,42.52169319,0.788824229
407,-200,600,107.2566645,46.76709627,0.220506441
408,-100,600,149.444793,51.47244721,0.455999703
409,-50,600,119.6000715,54.53627325,0.058332044
412,900,600,36.0437667,41.75075429,0.102356684
413,700,600,39.85912771,42.59901809,0.150008564
414,500,600,68.00956433,40.85119153,0.510718736
415,300,600,88.03155974,46.53360569,0.384319573
416,200,600,122.1963378,44.8749774,0.715267159
417,100,600,115.8689122,53.82463166,0.249080969
418,50,600,154.3770721,49.60410642,0.510716674
502,-2100,1000,12.69819513,36.36387241,0.444128073
504,-1500,1000,9.514243092,40.0035023,0.479023399
505,-1200,1000,42.72288085,37.97624151,0.131280853
506,-900,1000,40.343928,42.48075159,0.460122865
507,-700,1000,79.1245814,39.6581659,0.159002765
508,-500,1000,82.98630117,48.55725203,0.074705938
509,-300,1000,105.6721403,47.67622414,0.425248627
510,-200,1000,107.2830507,44.06466478,0.265601477
511,-100,1000,98.52992936,49.751134,0.230243756
514,1800,1000,17.24267444,37.20511336,0.786097649
515,1500,1000,55.60621045,43.51195853,1.076867976
516,1200,1000,48.90078034,37.44563936,0.252684309
517,900,1000,56.33160732,44.51617067,0.4383144
518,700,1000,75.98649352,42.23219728,0.925891696
519,500,1000,122.0895524,44.26036763,0.470249125
520,300,1000,86.50854379,48.98845765,1.15899669
521,200,1000,118.0110452,51.70862372,0.092025278
522,100,1000,88.40948288,50.93905294,0.767124664
