Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,400,300,2.57586668217,0.265870513825,1.42803183616
1468,350,300,2.37449560412,0.293108190785,1.08358922508
1465,200,300,2.92373843742,0.29507387276,1.09777106353
1464,200,300,2.93881144186,0.296217095229,0.767621723118
1467,300,300,2.50450085517,0.304045742437,0.886718989619
1466,250,300,2.75560908593,0.290209510526,0.97488550409
1461,50,300,3.3244654418,0.328280493183,0.233504233663
1460,-850,300,2.34485693197,0.269101523035,1.87834112403
1463,150,300,3.13418505501,0.283525088264,1.38676624734
1462,100,300,3.26884640501,0.281735977559,0.573931143342
1490,250,400,2.7708275602,0.28759159586,2.01271550899
1491,300,400,2.57589868214,0.2589333521,0.755013595016
1492,350,400,2.65936652933,0.274065445574,2.77098970727
1493,400,400,2.43986126772,0.272203706951,0.965353426978
1494,450,400,2.90778348881,0.289871899048,1.75162965582
1495,500,400,2.60099834663,0.280402374705,1.88283956472
1496,650,400,2.34556474205,0.275773416373,1.57363609343
1497,800,400,2.24513163473,0.284071177668,0.392370538976
1498,950,400,2.45941321273,0.291472810186,1.68601190535
1499,1100,400,2.09429302073,0.263594417442,2.38031357562
1418,-200,150,2.55866166163,0.283744046819,1.83174632855
1419,-300,150,2.34833091068,0.287973799714,2.19923711365
1410,0,1200,3.09348072664,0.296312077314,1.65957671714
1411,0,1400,2.88607672913,0.276151999266,0.384129052744
1412,0,1600,3.21613169517,0.292750064181,2.18557570751
1413,0,2000,2.78802817369,0.261106150922,1.33142652938
1414,0,2500,3.08464424036,0.329228414175,0.909149417818
1415,-40,150,3.73471697568,0.321649268646,1.41727156355
1416,-80,150,3.33799057975,0.302356311457,1.62783817063
1417,-140,150,2.71365172038,0.286211907401,0.57276801952
1483,-1000,400,2.38566140804,0.272837395121,1.28774591113
1482,-850,400,2.4705098932,0.297345397133,0.0978997210875
1481,-700,400,2.32094340095,0.31544246101,2.20899033317
1480,-550,400,2.49320299407,0.291524355161,2.08964937835
1487,150,400,2.84317614953,0.296765254303,1.08215200827
1486,100,400,3.1669034335,0.296211082531,0.282027398523
1485,50,400,3.28336403271,0.307857142266,1.54625302451
1484,-1200,400,2.24515915459,0.280769029253,1.14671211752
1489,200,400,2.95887731272,0.284005333854,0.601437013084
1488,200,400,2.97207283845,0.310080015664,1.76379969663
1409,0,1000,3.05673225619,0.300930624298,0.994711866836
1408,0,900,3.0688551883,0.295681731173,0.0898917266396
1403,0,300,2.96814471789,0.334463490486,0.985797282428
1402,0,250,3.14975369399,0.313273932427,1.75562254384
1401,0,200,3.30389915307,0.318105908358,0.898357611802
1400,0,150,3.69544107226,0.323750096161,0.751623184536
1407,0,700,3.04886076048,0.306508881991,0.32592172008
1406,0,600,3.38124857827,0.280602842488,1.14895761044
1405,0,500,3.19536409262,0.317717033529,0.440989993596
1404,0,400,3.19554422577,0.284268478944,0.571712543136
1436,-300,200,2.35949400382,0.280430158444,1.01925610962
1437,-400,200,2.18061018965,0.282513054032,3.70537185479
1434,-150,200,2.80913698488,0.279084058901,1.29071227999
1435,-200,200,2.89194153392,0.30023958407,0.681974477954
1432,-50,200,3.44156353057,0.332888969683,3.16510062364
1433,-100,200,3.1461689386,0.300150570798,0.681948079232
1430,400,150,2.21999130475,0.269555246718,3.67015533688
