Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,250,400,14.7881531643,0.396010187357,1.0047064526
1468,200,400,16.7369477491,0.426364207442,2.30670303933
1465,50,400,20.0322478911,0.47761482048,0.584061978809
1464,-1200,400,2.74992670859,0.374647956174,1.42313719233
1467,150,400,18.6325126047,0.456093527936,1.23574364925
1466,100,400,19.5278299115,0.451582657072,0.589904804634
1461,-750,400,3.98866498107,0.324079008615,1.34803142993
1460,-600,400,4.85807402628,0.370661165671,1.83605334674
1463,-1050,400,3.09167238212,0.337971187211,0.89107553851
1462,-900,400,3.29061030399,0.315506250529,2.52279768585
1490,1200,1000,4.11646058678,0.345134246421,0.186751455678
1491,1800,1000,2.92861983038,0.357626109555,1.47469981427
1492,2400,1000,2.94353438081,0.335269134252,1.89100911956
1418,-160,150,12.3967312361,0.383222055936,0.935944718971
1419,-200,150,9.18689390182,0.397123848053,1.17698212529
1410,0,1200,7.30808132966,0.355126168133,2.49189027298
1411,0,1400,6.48643195855,0.376166869385,0.509877502885
1412,0,1600,5.89366558087,0.361751955279,0.258356522003
1413,0,2000,4.74255596946,0.337679304247,0.708238184891
1414,0,2500,4.27533973391,0.354907636129,0.638682916696
1415,-40,150,26.3593228742,0.482579633449,0.308618028736
1416,-80,150,20.9724538298,0.430180338185,1.2723453874
1417,-120,150,16.6165325069,0.426338106907,0.0788551310676
1483,-1800,1000,2.95623181016,0.354035673733,1.31877061386
1482,-1200,1000,3.34056206753,0.384627958756,0.801207576751
1481,-900,1000,4.50723447476,0.353973898382,0.689919842983
1480,-600,1000,6.09765628163,0.36917776957,1.14649897435
1487,300,1000,8.4015390928,0.393054498738,2.84381642713
1486,150,1000,8.23840720238,0.368741271705,0.80155875893
1485,50,1000,8.59680348501,0.380163981489,3.26982040357
1484,-2400,1000,2.23329782431,0.339556181005,2.12145964841
1489,900,1000,4.97554001414,0.354396810374,2.07174232711
1488,600,1000,6.1272319064,0.38897571968,0.405623912163
1409,0,1000,8.85391339266,0.392090850602,1.95417082771
1408,0,900,9.62271143414,0.367115672291,1.49212058498
1403,0,300,24.4404849284,0.440292168057,0.319593617288
1402,0,250,25.6204481422,0.484420967996,1.73022393084
1401,0,200,27.4626992511,0.474872310293,1.08999150226
1400,0,150,29.7253067883,0.522511550929,3.99834094841
1407,0,700,12.6433743105,0.382649618446,2.42310684056
1406,0,600,14.9127673115,0.374982422555,1.18770171794
1405,0,500,17.3421198668,0.383647784118,2.53200365155
1404,0,400,20.7021623738,0.449168977352,1.67369492922
1436,-200,200,11.8536118876,0.448687387029,0.35953540688
1437,-250,200,9.1763901478,0.423330600666,0.734868477434
1434,-100,200,20.0113572145,0.437388925592,1.25458293212
1435,-150,200,15.3277380059,0.403347794274,0.715734083323
1432,400,150,5.25462120622,0.37370884464,0.497911594098
1433,-50,200,24.7359812644,0.451504322091,0.487707260373
1430,280,150,8.1736378941,0.365469226521,1.0138353683
1431,340,150,6.21010585692,0.367873516772,1.09192530103
1438,-300,200,7.44583671792,0.375815637528,1.19817249146
1439,-350,200,5.94761986591,0.404309838466,3.10000968742
1421,-280,150,5.90649834803,0.355128668952,2.22931954678
1420,-240,150,7.76746231338,0.373642981013,0.584025412357
1423,-400,150,4.25584150057,0.332325948395,1.541139535
1422,-340,150,4.83477819805,0.328967838701,0.991611572174
1425,80,150,25.1160035626,0.447274965615,0.893378534301
1424,40,150,28.3522076201,0.49773540202,2.84130004875
1427,160,150,15.9354735124,0.382116808901,0.829496185266
1426,120,150,20.2016665571,0.45597029057,1.6615728588
1429,240,150,9.94334681428,0.372351781913,1.34870904743
1428,200,150,12.885079526,0.403843417916,0.453279594762
1454,-100,400,17.8462181912,0.439576603439,1.69862513328
1455,-150,400,16.061552149,0.416925241805,1.36162302878
1456,-200,400,13.7579365365,0.385468466453,1.95570246165
1457,-250,400,12.4953924911,0.412494877801,0.457388596395
1450,400,200,6.60474311216,0.369136564342,0.135029115069
1451,500,200,4.87145426407,0.340927749113,1.00002533321
1452,600,200,3.52585769185,0.339937116586,1.41350657426
1453,-50,400,19.5991657728,0.43959617939,2.95463824023
1458,-300,400,10.4751198434,0.361442513933,0.391311899612
1459,-450,400,7.07495914725,0.36424078321,0.559431961992
1447,250,200,12.4961855228,0.38260419218,1.14987856961
1446,200,200,15.2122908766,0.393946192917,0.609492676518
1445,150,200,19.4693413008,0.418779681231,1.27009136096
1444,100,200,23.5177481084,0.469447242636,1.70512019119
1443,50,200,26.3513755449,0.469199870169,1.4559328558
1442,-600,200,3.14719456326,0.325070854382,0.867388276707
1441,-500,200,4.27937523557,0.332862082853,0.665342456927
1440,-400,200,5.41213854771,0.373603817469,0.545279731094
1449,350,200,8.17177024812,0.373230141983,0.707810206704
1448,300,200,9.57412088862,0.369402168188,1.09556034143
1472,600,400,5.96730435092,0.342451580533,0.945376260506
1473,750,400,4.73841333612,0.340272458159,2.14885536156
1470,300,400,13.4003092904,0.398173383881,3.37970253724
1471,450,400,8.90266482528,0.357110303695,0.811724330019
1476,1200,400,2.85713174969,0.340978203676,1.94490120595
1477,-50,1000,8.52534940064,0.339896140532,0.290241664015
1474,900,400,3.68614350627,0.333593091146,0.701551036706
1475,1050,400,3.45888176398,0.375434212164,2.20496651108
1478,-150,1000,8.5651038887,0.373423021913,0.765802596906
1479,-300,1000,7.25387548872,0.349790478292,3.03618619279
