Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,400,300,2.79302438971,0.0571057280754,3.103626226
1468,350,300,2.94781856814,0.0567895159622,5.27128010624
1465,200,300,3.41721493702,0.0572417402601,2.65734650084
1464,200,300,3.37070008538,0.0681528883821,0.305021578631
1467,300,300,3.01903290123,0.0555824112271,7.08692379397
1466,250,300,3.16820112698,0.0588610016568,2.88838981729
1461,50,300,3.83633134083,0.0612348611897,4.68902102742
1460,-850,300,2.44242673817,0.052145172184,6.68276017709
1463,150,300,3.53169386875,0.0612939409978,1.49558710202
1462,100,300,3.73045331893,0.0620637246975,4.1823457105
1490,250,400,3.34805867584,0.059511482168,2.97466535249
1491,300,400,3.26280621903,0.0587918346043,5.32190799658
1492,350,400,3.10168204393,0.0593849543426,8.17365495402
1493,400,400,3.04824155764,0.0546097448903,4.12093548901
1494,450,400,2.9508031304,0.0542835639567,4.17339871201
1495,500,400,2.8099463883,0.0496752394551,4.32411327366
1496,650,400,2.61922779002,0.0531987029008,3.88279949128
1497,800,400,2.4981919306,0.0533291999145,3.93584104583
1498,950,400,2.42700151849,0.0539907781145,5.3529940266
1499,1100,400,2.3550454928,0.054468598993,4.87889540693
1418,-200,150,2.83177102689,0.0553114267617,6.83541415547
1419,-300,150,2.62138855888,0.0571113480146,6.64937075508
1410,0,1200,3.84703012757,0.0633400802608,3.58058150124
1411,0,1400,3.79385362465,0.0622864265889,2.91027443264
1412,0,1600,3.85448002322,0.063153829193,3.29368839179
1413,0,2000,3.87459134512,0.0642865879495,2.68856945015
1414,0,2500,3.8891050796,0.0634170667836,1.57768970275
1415,-40,150,3.98728380591,0.0645681777759,8.60603372904
1416,-80,150,3.72630948293,0.0711267851612,9.80672227386
1417,-140,150,3.22692076265,0.0566409075121,10.3299185532
1483,-1000,400,2.44433758443,0.0561260025646,3.73945521539
1482,-850,400,2.57632313994,0.0564697759012,4.76926511424
1481,-700,400,2.65695139512,0.0547067527654,2.60903873095
1480,-550,400,2.7672230646,0.0617511883582,9.17823869917
1487,150,400,3.65164717366,0.05625741843,2.68581337835
1486,100,400,3.71653495273,0.0609080926835,1.29388079954
1485,50,400,3.81461009561,0.0629411844718,1.53547229755
1484,-1200,400,2.42325744694,0.0523127340927,5.23221103873
1489,200,400,3.56492343501,0.0616052421867,0.881832312141
1488,200,400,3.54876493592,0.0588067340257,3.09309743648
1409,0,1000,3.87273296208,0.0654712291054,6.57089738063
1408,0,900,3.87352505645,0.06239534079,2.58725270297
1403,0,300,3.88166782994,0.0617179013781,2.25475498374
1402,0,250,3.91349501326,0.0637971051529,7.06021935694
1401,0,200,3.85467869788,0.065626235917,1.81509619183
1400,0,150,3.95470296719,0.0614789296856,4.30487104564
1407,0,700,3.85077811496,0.066941145324,2.25705545239
1406,0,600,3.85016137705,0.0656876942969,6.00691277876
1405,0,500,3.88036064057,0.0642115128487,3.36239708952
1404,0,400,3.84429101787,0.0648086577495,3.14721576645
1436,-300,200,2.74269962084,0.0576051225126,6.21396208723
1437,-400,200,2.56225618757,0.0558685089116,6.80850793065
1434,-150,200,3.35874105941,0.0616822843022,13.3857157923
1435,-200,200,3.10455314672,0.0605814594909,5.57363809477
1432,-50,200,3.95527909581,0.0646936049336,9.78421721166
1433,-100,200,3.68425070579,0.0626294795622,13.7462912981
1430,400,150,2.38164766939,0.0529319067756,3.24761713009
1431,440,150,2.32444053473,0.0556882001901,2.71931201953
1438,-600,200,2.43665333367,0.0528577439437,5.55791892614
1439,50,200,3.78392567093,0.064435486362,1.74696075094
1421,80,150,3.49113895613,0.0635292166622,1.66740471839
1420,40,150,3.79250895898,0.0588613322841,3.50026548245
1423,160,150,3.06538833902,0.0589547816982,3.72054340229
1422,120,150,3.27852445706,0.0585968070734,3.06028195571
1425,200,150,2.78445614563,0.0584884579659,3.84593992374
1424,200,150,2.78564665123,0.0574305854537,2.18248546338
1427,280,150,2.5365340052,0.0544999717561,5.98777521116
1426,240,150,2.66279264504,0.0570882852874,4.62438523409
1429,360,150,2.43703004689,0.0526954444637,6.3247917054
1428,320,150,2.50741727968,0.0513694993922,7.55205334073
1454,-200,300,3.51860359369,0.06315276984,11.4103664706
1455,-250,300,3.32145909651,0.0589258683501,11.5621881968
1456,-300,300,3.17694031022,0.0572204720232,12.9502746791
1457,-400,300,2.90755459906,0.0543460364231,9.4310948756
1450,550,200,2.34729746506,0.0568037770065,5.25685367963
1451,600,200,2.28845189338,0.0528463384737,2.13037061882
1452,-50,300,4.02161346539,0.065297018767,13.5615066916
1453,-100,300,3.89115319224,0.0676538819685,7.9619994666
1458,-550,300,2.58134782649,0.0519800559741,6.65456513847
1459,-700,300,2.44560610926,0.0495347461067,3.6421553552
1447,400,200,2.52391983872,0.0566655512791,9.16708995257
1446,350,200,2.6002682718,0.0512100758208,2.59848085459
1445,300,200,2.7152119738,0.0542075721533,2.79493362972
1444,250,200,2.85081011276,0.058236626818,2.26865292268
1443,200,200,3.08419979594,0.0578386175697,5.57224709369
1442,200,200,3.04891655663,0.0590972638231,4.23854701778
1441,150,200,3.26039506573,0.0510526322838,2.47906183666
1440,100,200,3.56473940953,0.0617742992836,2.50127255299
1449,500,200,2.43092333208,0.0530613954229,6.19677166599
1448,450,200,2.46775173501,0.0533285091391,7.398983772
1472,600,300,2.52501859114,0.0584067618388,4.55029022174
1473,650,300,2.4615050222,0.0542486702821,2.68724425519
1470,450,300,2.72936387648,0.0555720770477,3.4989685453
1471,500,300,2.61951091174,0.0535222891673,3.51686006793
1476,-50,400,4.13770266361,0.065245604496,13.5428634732
1477,-100,400,3.91175228138,0.0693955571261,10.9690768431
1474,700,300,2.44681049229,0.0556003020326,2.5926719477
1475,800,300,2.42323568354,0.0523834544584,2.97308404271
1478,-250,400,3.46983660492,0.0576923893624,9.65193511297
1479,-400,400,3.14633228764,0.0612030666901,5.91212656731
