Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1402,0,250,12.45505475,0.749038032,0.174431819
1409,0,1000,4.970271964,0.476026199,0.35550167
1445,150,200,9.39686937,0.427950453,0.653793474
1416,-80,150,10.58516763,0.402626218,0.048339197
1428,200,150,6.445022923,0.400343524,0.423861203
1488,600,1000,3.972884707,0.362198449,0.136900294
1411,0,1400,4.283364857,0.340643116,0.174012598
1469,250,400,7.066958453,0.338892495,0.600947123
1405,0,500,8.394455629,0.33580227,1.007701539
1400,0,150,14.72348837,0.334314211,5.036030322
1442,-600,200,3.143465945,0.311932423,0.130479596
1425,80,150,12.12689423,0.291883506,0.096545116
1453,-50,400,9.303203495,0.281669723,0.38218022
1483,-1800,1000,3.265505873,0.275229924,0.214211265
1404,0,400,9.685434096,0.274939623,0.405235916
1450,400,200,4.114937691,0.27483632,0.687318264
1465,50,400,9.946032673,0.273230804,1.830113525
1457,-250,400,6.173068189,0.272704671,0.317289947
1407,0,700,6.527582672,0.269418849,1.199426881
1475,1050,400,3.21142739,0.265731714,0.234353247
1414,0,2500,3.697252481,0.251907857,1.728518938
1403,0,300,11.74359926,0.251113588,2.114573146
1430,280,150,4.772044434,0.249292591,0.672331548
1464,-1200,400,3.130229557,0.24564402,0.486932268
1491,1800,1000,2.91270052,0.243441749,0.102987159
1443,50,200,13.30421357,0.242136365,2.51558991
1466,100,400,9.36680229,0.237114831,2.22617604
1462,-900,400,3.242061846,0.236979676,0.365448222
1460,-600,400,3.678954488,0.234942998,0.639985501
1434,-100,200,10.11593842,0.231870336,1.252554671
1422,-340,150,3.689376249,0.226233396,0.289152678
1479,-300,1000,4.674755168,0.225591603,1.394627514
1470,300,400,6.443291238,0.22553208,1.169759726
1487,300,1000,4.761998379,0.223746069,1.751381945
1417,-120,150,8.548838343,0.220359241,0.306935624
1452,600,200,3.357495087,0.219617772,0.369364271
1448,300,200,5.146005767,0.219560977,0.386771461
1473,750,400,3.583723541,0.219182665,0.289388257
1441,-500,200,3.307387877,0.214495638,1.254344395
1467,150,400,8.818709377,0.2129918,0.631832508
1433,-50,200,12.38572904,0.212449777,1.901871441
1410,0,1200,4.829814525,0.212431721,3.077877231
1413,0,2000,3.933725899,0.21169685,1.280015578
1484,-2400,1000,3.019312929,0.210319759,0.238608366
1424,40,150,13.74084156,0.209486497,2.287200028
1423,-400,150,3.37006662,0.209356045,0.74148973
1468,200,400,8.066073392,0.206700521,0.335535308
1489,900,1000,3.64404708,0.203247419,0.395093008
1486,150,1000,5.092574564,0.202252418,1.024740517
1406,0,600,7.348027546,0.200166357,7.209478745
1415,-40,150,13.26146932,0.193178117,0.977685372
1476,1200,400,2.866239535,0.191851556,0.367212444
1485,50,1000,5.185947078,0.18997712,1.934344871
1490,1200,1000,3.303372562,0.187640292,0.348345073
1427,160,150,7.856399417,0.187380087,0.84355003
1431,340,150,4.093613677,0.186745804,1.439902757
1401,0,200,13.62953738,0.18514591,4.694386055
1444,100,200,11.23647643,0.177881727,1.88819088
1408,0,900,5.360646817,0.176533635,2.997945782
1482,-1200,1000,3.169074951,0.173213019,0.43612026
1449,350,200,4.743592118,0.169893726,0.5952924
1459,-450,400,4.229462965,0.168058706,1.073250971
1446,200,200,7.576867715,0.16431282,7.371217665
1454,-100,400,8.557864895,0.16248756,3.093911702
1436,-200,200,6.297795311,0.162286955,1.43545171
1438,-300,200,4.546756411,0.161420956,1.689737744
1456,-200,400,7.166953405,0.160911571,1.473482377
1432,400,150,3.652867915,0.159591765,1.284803333
1480,-600,1000,3.910366928,0.156995948,1.614812775
1481,-900,1000,3.515633975,0.154049447,0.824671278
1426,120,150,9.693491627,0.152124899,0.695879278
1451,500,200,3.498217043,0.152034046,0.209791697
1472,600,400,3.84608763,0.147554331,1.050111956
1455,-150,400,7.800632974,0.141487938,3.817495789
1437,-250,200,5.355992193,0.140722282,0.481244468
1420,-240,150,4.722801145,0.137985652,1.829388787
1458,-300,400,5.574238316,0.137434045,0.355964587
1447,250,200,6.132280368,0.132651644,2.627084945
1492,2400,1000,2.816055081,0.130928289,1.189243101
1477,-50,1000,5.034971547,0.130878454,10.1947118
1478,-150,1000,4.934046361,0.125434647,2.867236666
1418,-160,150,6.684501012,0.125162141,0.670479584
1421,-280,150,4.353635677,0.124985081,1.202323562
1440,-400,200,3.806420016,0.124546093,3.807082945
1419,-200,150,5.60604913,0.121497273,2.332074927
1471,450,400,4.664706663,0.117922043,0.382003506
1474,900,400,3.098966902,0.117904603,0.80895747
1412,0,1600,4.100432971,0.115009746,11.87532519
1439,-350,200,4.006203682,0.109962032,1.567847469
1461,-750,400,3.342966568,0.107585676,3.065075339
1463,-1050,400,2.938276279,0.100347069,1.313218334
