Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,250,400,4.64681374403,0.590048451841,0.409007037072
1468,200,400,4.25818916244,0.726937960506,0.524764520556
1465,50,400,4.27600288382,0.479323805926,1.71781493025
1464,-1200,400,2.8194830469,0.450876187113,1.80389867652
1467,150,400,4.84433101294,0.508691215216,1.00414671711
1466,100,400,4.67450940671,0.699987408929,0.553168036554
1461,-750,400,3.26032929691,0.54507535569,0.428006464213
1460,-600,400,4.01813301831,0.486322776862,0.616134548296
1463,-1050,400,2.99091791075,0.470498974379,1.44574189847
1462,-900,400,3.43237792543,0.561180349721,0.35025074881
1490,1200,1000,3.06989612578,0.530277713559,1.72906267341
1491,1800,1000,3.01482469503,0.832485236369,0.353588883154
1492,2400,1000,3.06392911401,0.523272225642,1.58375024156
1418,-160,150,3.89775637095,1.06514696451,0.117431579286
1419,-200,150,3.96958568225,0.549248752403,0.154171571083
1410,0,1200,4.96602203425,0.504305126671,1.45112055997
1411,0,1400,4.45770472432,0.464373601598,0.462522964978
1412,0,1600,4.35999872383,0.499441670048,1.01089690391
1413,0,2000,4.10190224802,0.70612179405,0.580351490922
1414,0,2500,4.37185107751,0.491861663583,0.59176637315
1415,-40,150,4.64146244201,0.619520964925,0.701353241559
1416,-80,150,4.13453003356,0.466743281601,1.61998662581
1417,-120,150,4.42198891016,1.05239513618,0.315627291431
1483,-1800,1000,3.42454154984,0.582862082183,3.80592148816
1482,-1200,1000,4.12582921486,0.581642488999,0.762461016567
1481,-900,1000,3.68249188091,0.734850299112,0.70689063924
1480,-600,1000,3.95636298899,0.614962791777,0.728568252695
1487,300,1000,4.3419981138,1.00968089705,0.816068562605
1486,150,1000,4.99631235716,0.691660264457,0.709104311853
1485,50,1000,4.81189588454,0.518183858881,2.18468698315
1484,-2400,1000,3.49181900296,0.504874692327,0.451865805063
1489,900,1000,4.12095803245,0.523050539327,1.09114929578
1488,600,1000,4.6096046216,0.561273676086,1.12146069622
1409,0,1000,4.63311716586,0.631767538544,1.24251713804
1408,0,900,5.04924498998,2.10544228697,0.801908472997
1403,0,300,4.61783879671,0.837719715314,0.380271110272
1402,0,250,4.27685491397,1.43149287221,0.284850470591
1401,0,200,4.84353259021,1.00547223699,1.0721172856
1400,0,150,5.07207415738,0.476662354736,0.652560754065
1407,0,700,3.84105666329,1.60240830781,0.0943494562208
1406,0,600,5.57053075332,1.57746489721,0.179821638038
1405,0,500,4.39607847219,0.619772338759,0.476875906544
1404,0,400,4.78075707427,0.514595317294,1.67245699034
1436,-200,200,3.86153188887,0.513060047345,1.27341286381
1437,-250,200,3.9608319368,0.511182472483,0.690321249364
1434,-100,200,4.4689186793,0.478085198587,1.07403645139
1435,-150,200,4.4845857579,0.455703196996,0.694583006327
1432,400,150,3.26658005129,0.612620375578,0.406232285555
1433,-50,200,4.99779589845,0.541104883343,0.644394947647
1430,280,150,3.40842916099,0.749109232745,0.5670621204
1431,340,150,3.3760520997,0.437701747273,0.663732934569
1438,-300,200,3.33774206237,0.621006934857,0.608699502307
1439,-350,200,3.4036704833,0.555129457649,0.889576211499
1421,-280,150,3.18508892946,0.563169205085,0.91836220719
1420,-240,150,3.64589956812,0.565369487565,0.683423487192
1423,-400,150,3.45991783999,0.804289316165,0.23669633826
1422,-340,150,3.0355708619,0.640931953233,1.32143070522
1425,80,150,4.65763827032,0.477745893208,0.288095328358
1424,40,150,5.54958970578,1.11813222766,0.287944332421
1427,160,150,3.6594862697,0.629245278994,0.41249770075
1426,120,150,4.10637505807,0.473918353815,2.35368683992
1429,240,150,3.58455018502,0.729270190746,1.99301954242
1428,200,150,3.92650933781,0.584328821398,1.19661703724
1454,-100,400,4.48403278089,0.602739038763,0.269116846567
1455,-150,400,4.31897930188,0.765589396478,1.09248590139
1456,-200,400,4.69910627436,0.555201210631,1.11951067028
1457,-250,400,4.91467676629,0.825539453337,0.188984481393
1450,400,200,3.29699208472,0.520347647283,0.486494355545
1451,500,200,3.09489644507,0.469118345903,1.33504680325
1452,600,200,3.5917595398,0.615620339217,0.339034845458
1453,-50,400,5.15237624256,0.633365645918,0.34456300208
1458,-300,400,3.78265312422,0.549809628971,1.26290174022
1459,-450,400,3.81288900364,1.32549258367,0.234203741338
1447,250,200,3.37095869426,0.595158140296,1.18539770583
1446,200,200,3.85254132921,0.503061782204,0.785898539577
1445,150,200,3.97240184908,1.434924552,0.082798039552
1444,100,200,4.69770972069,0.505575666522,0.653986493981
1443,50,200,4.67349580387,0.473706008485,2.19312204587
1442,-600,200,3.21239697526,0.608194796874,1.21108548809
1441,-500,200,3.12803209611,0.615049524976,0.969130486769
1440,-400,200,3.15060313605,0.83403884959,0.590117615463
1449,350,200,3.50099376609,0.483780807707,5.77179986251
1448,300,200,3.74715537514,0.542814088396,0.482138206821
1472,600,400,3.27207322564,0.57858668112,0.746310456502
1473,750,400,3.69532156944,0.654700829307,0.547982837658
1470,300,400,4.01443724835,0.488974905598,0.931065276876
1471,450,400,3.5874878897,0.485606446695,0.695621857028
1476,1200,400,2.95801358515,0.925807377876,0.740237001639
1477,-50,1000,4.46768727627,0.496652505307,1.39472252098
1474,900,400,2.82190523304,0.432843092673,1.74881998338
1475,1050,400,3.23428517024,0.447413842563,1.66080199489
1478,-150,1000,5.0629106724,0.913223312038,0.731527600325
1479,-300,1000,5.24650642358,0.505894117616,2.98633362848
