Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,-1500,2300,40.4532453266291,2.144392715958601,1.891914371273495
1468,-825,2300,50.012717741714084,2.531816994340846,1.9494402685654828
1465,-375,2300,55.382170888923206,2.061134966573364,0.45826619651398165
1464,-250,2300,53.90060695749757,2.1382193174669117,1.1559148046977705
1467,-650,2300,51.841686540436704,2.139634571925137,0.7117072083894869
1466,-500,2300,55.164926507696904,2.2901252156871075,3.5196890383042128
1461,4270,1600,8.51913513973162,1.2139140293363868,2.440081673814924
1460,3200,1600,11.56047489979268,1.3091613841009804,1.0712500337988715
1463,-125,2300,56.3590730145105,2.613181621603293,0.12830325908564466
1462,-50,2300,55.960000957083366,2.1865695649998664,2.7986526447479325
1490,-50,3000,54.53220400438667,3.2290604504522182,0.7635962933626343
1491,-150,3000,55.26352194205156,1.906729395399264,0.3860387045856383
1492,-300,3000,56.97842589546218,4.0127200827479665,0.20757227780833795
1493,-450,3000,52.16963099889448,1.9488484136394837,3.9710031948000823
1494,-600,3000,51.05192547000488,1.635407975772436,1.7702964349778212
1495,-750,3000,49.91868483540525,2.997681474287602,0.6574296931530971
1496,-1500,3000,44.25778058245565,2.1163247033689294,0.30735564546473015
1497,-1875,3000,40.12017424926646,1.8037468808513053,2.296987601920038
1498,-2250,3000,33.79831359846038,1.975061191384449,1.2967259748537832
1499,-2625,3000,30.15903658477871,1.9377429456742157,1.06999294048198
1418,-600,400,20.624989048750496,1.3565009222527553,1.1108348877521088
1419,-700,400,17.8349981593085,1.5396619751442389,1.1865814615618608
1410,0,3000,54.32900430274311,3.0434064301382344,1.336762857510476
1411,0,3500,49.14839721256477,2.264693190942797,2.5136738629139694
1412,-50,400,61.24378972407484,2.2498826891592913,2.13278772540477
1413,-100,400,57.58965834318974,2.5774694439800614,0.3532106899504752
1414,-200,400,51.86451246534447,2.8193639536993027,1.2662149930339641
1415,-300,400,40.18827171579606,1.4650678214384398,3.0040873962360672
1416,-400,400,33.53796103180768,1.5294562371057339,2.1649225855767646
1417,-500,400,24.97737686961225,1.8235392828742636,1.0490751810171315
1510,600,3000,52.29357326218611,2.779233479254061,2.6005594037906516
1483,1500,2300,39.73348158252082,2.064930857184128,1.1671010076918344
1482,825,2300,49.57777358515721,1.7684302036789374,3.090562997089899
1481,650,2300,48.47787363430342,3.8785200732606544,0.6665527354827093
1480,500,2300,56.02125713627317,2.1344041612180384,3.482981586715246
1487,4000,2300,14.341037730369157,1.347918013729359,3.368019089140552
1486,3000,2300,20.40595793592493,1.6562649358676047,1.8019946471060968
1485,2200,2300,29.135647186515126,1.7147494469488886,1.2902848262555326
1484,1800,2300,33.161200037172215,1.6281151016436515,1.5188802341159213
1489,5000,2300,9.871030690909384,1.6915309664207778,4.061806738127638
1488,4500,2300,13.182891444797322,1.4898187918153836,3.293113100226938
1409,0,2500,55.72235196431449,4.878038175937947,0.513335946673726
1408,0,2000,55.523288029801755,2.0193535681791346,1.6875577218031945
1520,7000,3000,8.238110892051797,1.373510345315361,3.918260532205024
1521,9000,3000,6.894475412533291,1.8969560717341383,1.2312613001328023
1403,0,500,62.17554762694241,2.3003793110415,1.9241167220954556
1402,0,400,63.03578014702649,3.461700343423847,0.5308601156689754
1401,0,300,63.379193814929835,2.599579737861329,0.8840309864805488
1400,0,200,61.77878394093644,2.3723568648467084,1.5962875281752444
1407,0,1500,57.98869285136712,2.6879956215779477,1.4879304117253216
1406,0,1000,61.64778412255889,2.7811689540740674,0.345226567312099
